,Common Name,Scientific Name,Date Sited,Location Name,Latitude,Longitude,year
0,Mew Gull,Larus canus,2020-09-26 10:23,Seward--Airport Mudflats,60.1253055,-149.4220018,2020
1,Glaucous-winged Gull,Larus glaucescens,2020-09-26 10:23,Seward--Airport Mudflats,60.1253055,-149.4220018,2020
2,Bald Eagle,Haliaeetus leucocephalus,2020-09-26 10:23,Seward--Airport Mudflats,60.1253055,-149.4220018,2020
3,Merlin,Falco columbarius,2020-09-26 10:23,Seward--Airport Mudflats,60.1253055,-149.4220018,2020
4,Northern Shrike,Lanius borealis,2020-09-26 10:23,Seward--Airport Mudflats,60.1253055,-149.4220018,2020
5,Black-capped Chickadee,Poecile atricapillus,2020-09-26 09:26,"2088 Alderneck Trail, Fairbanks, Alaska, US (64.891, -147.854)",64.8906505,-147.8536016,2020
6,Brown Creeper,Certhia americana,2020-09-26 09:26,"2088 Alderneck Trail, Fairbanks, Alaska, US (64.891, -147.854)",64.8906505,-147.8536016,2020
7,Eurasian Collared-Dove,Streptopelia decaocto,2020-09-26 09:07,"605 N Second St, Petersburg US-AK 56.81593, -132.95536",56.815935,-132.955356,2020
8,Sandhill Crane,Antigone canadensis,2020-09-26 09:07,"605 N Second St, Petersburg US-AK 56.81593, -132.95536",56.815935,-132.955356,2020
9,Northern Flicker,Colaptes auratus,2020-09-26 09:07,"605 N Second St, Petersburg US-AK 56.81593, -132.95536",56.815935,-132.955356,2020
10,Steller's Jay,Cyanocitta stelleri,2020-09-26 09:07,"605 N Second St, Petersburg US-AK 56.81593, -132.95536",56.815935,-132.955356,2020
11,Northwestern Crow,Corvus caurinus,2020-09-26 09:07,"605 N Second St, Petersburg US-AK 56.81593, -132.95536",56.815935,-132.955356,2020
12,Chestnut-backed Chickadee,Poecile rufescens,2020-09-26 09:07,"605 N Second St, Petersburg US-AK 56.81593, -132.95536",56.815935,-132.955356,2020
13,Ruby-crowned Kinglet,Regulus calendula,2020-09-26 09:07,"605 N Second St, Petersburg US-AK 56.81593, -132.95536",56.815935,-132.955356,2020
14,Fox Sparrow,Passerella iliaca,2020-09-26 09:07,"605 N Second St, Petersburg US-AK 56.81593, -132.95536",56.815935,-132.955356,2020
15,Dark-eyed Junco,Junco hyemalis,2020-09-26 09:07,"605 N Second St, Petersburg US-AK 56.81593, -132.95536",56.815935,-132.955356,2020
16,Song Sparrow,Melospiza melodia,2020-09-26 09:07,"605 N Second St, Petersburg US-AK 56.81593, -132.95536",56.815935,-132.955356,2020
17,Mallard,Anas platyrhynchos,2020-09-26 09:05,Ship Creek--Overlook Park,61.2242595,-149.8796403,2020
18,Rock Pigeon,Columba livia,2020-09-26 09:05,Ship Creek--Overlook Park,61.2242595,-149.8796403,2020
19,Lesser Yellowlegs,Tringa flavipes,2020-09-26 09:05,Ship Creek--Overlook Park,61.2242595,-149.8796403,2020
20,Black-billed Magpie,Pica hudsonia,2020-09-26 09:05,Ship Creek--Overlook Park,61.2242595,-149.8796403,2020
21,American Dipper,Cinclus mexicanus,2020-09-26 09:05,Ship Creek--Overlook Park,61.2242595,-149.8796403,2020
22,passerine sp.,Passeriformes sp.,2020-09-26 08:59,Middleton Island (restricted) (Gulf of Alaska),59.4377439,-146.3317108,2020
23,Harlequin Duck,Histrionicus histrionicus,2020-09-26 08:49,"811 Ocean Drive Loop, Homer, AK",59.6346542,-151.5233798,2020
24,Black Scoter,Melanitta americana,2020-09-26 08:49,"811 Ocean Drive Loop, Homer, AK",59.6346542,-151.5233798,2020
25,Herring Gull,Larus argentatus,2020-09-26 08:49,"811 Ocean Drive Loop, Homer, AK",59.6346542,-151.5233798,2020
26,Common Loon,Gavia immer,2020-09-26 08:49,"811 Ocean Drive Loop, Homer, AK",59.6346542,-151.5233798,2020
27,Red-breasted Nuthatch,Sitta canadensis,2020-09-26 08:49,"811 Ocean Drive Loop, Homer, AK",59.6346542,-151.5233798,2020
28,White-crowned Sparrow,Zonotrichia leucophrys,2020-09-26 08:49,"811 Ocean Drive Loop, Homer, AK",59.6346542,-151.5233798,2020
29,Golden-crowned Sparrow,Zonotrichia atricapilla,2020-09-26 08:49,"811 Ocean Drive Loop, Homer, AK",59.6346542,-151.5233798,2020
