,Common Name,Scientific Name,Date Sited,Location Name,Latitude,Longitude,year
0,Black-throated Gray Warbler,Setophaga nigrescens,2020-09-26 11:09,"1620 Carmona Ave, Los Angeles US-CA 34.04491, -118.35896",34.044907,-118.358964,2020
1,Merlin,Falco columbarius,2020-09-26 11:03,"Natural Bridges State Beach, Santa Cruz US-CA 36.95015, -122.05707",36.950148,-122.057069,2020
2,Anna's Hummingbird,Calypte anna,2020-09-26 11:00,Home,37.2983451,-121.8888406,2020
3,Rufous/Allen's Hummingbird,Selasphorus rufus/sasin,2020-09-26 11:00,Home,37.2983451,-121.8888406,2020
4,Northern Flicker,Colaptes auratus,2020-09-26 11:00,Freshwater,40.76155,-124.06217,2020
5,House Sparrow,Passer domesticus,2020-09-26 11:00,Home,37.2983451,-121.8888406,2020
6,California Towhee,Melozone crissalis,2020-09-26 11:00,Home,37.2983451,-121.8888406,2020
7,Sharp-shinned/Cooper's Hawk,Accipiter striatus/cooperii,2020-09-26 10:59,Mission San Miguel,35.7437606,-120.6975174,2020
8,Common Raven,Corvus corax,2020-09-26 10:59,Barstow Community College,34.8708978,-117.0235991,2020
9,House Finch,Haemorhous mexicanus,2020-09-26 10:59,Barstow Community College,34.8708978,-117.0235991,2020
10,Great-tailed Grackle,Quiscalus mexicanus,2020-09-26 10:59,Mission San Miguel,35.7437606,-120.6975174,2020
11,Yellow-rumped Warbler,Setophaga coronata,2020-09-26 10:59,Barstow Community College,34.8708978,-117.0235991,2020
12,Cinnamon Teal,Spatula cyanoptera,2020-09-26 10:56,Palo Verde Diversion Dam,33.7311925,-114.5124722,2020
13,American Wigeon,Mareca americana,2020-09-26 10:56,Palo Verde Diversion Dam,33.7311925,-114.5124722,2020
14,Northern Pintail,Anas acuta,2020-09-26 10:56,Palo Verde Diversion Dam,33.7311925,-114.5124722,2020
15,American Coot,Fulica americana,2020-09-26 10:56,Palo Verde Diversion Dam,33.7311925,-114.5124722,2020
16,Double-crested Cormorant,Phalacrocorax auritus,2020-09-26 10:56,Palo Verde Diversion Dam,33.7311925,-114.5124722,2020
17,Turkey Vulture,Cathartes aura,2020-09-26 10:56,Palo Verde Diversion Dam,33.7311925,-114.5124722,2020
18,Say's Phoebe,Sayornis saya,2020-09-26 10:56,Palo Verde Diversion Dam,33.7311925,-114.5124722,2020
19,Verdin,Auriparus flaviceps,2020-09-26 10:56,Palo Verde Diversion Dam,33.7311925,-114.5124722,2020
20,White-crowned Sparrow,Zonotrichia leucophrys,2020-09-26 10:56,Palo Verde Diversion Dam,33.7311925,-114.5124722,2020
21,Heermann's Gull,Larus heermanni,2020-09-26 10:55,"445 Pacific Coast Hwy, Santa Monica US-CA 34.02370, -118.51295",34.023703,-118.512953,2020
22,Northern Mockingbird,Mimus polyglottos,2020-09-26 10:55,Fay Yard,33.772141,-118.392734,2020
23,Lesser Goldfinch,Spinus psaltria,2020-09-26 10:55,Fay Yard,33.772141,-118.392734,2020
24,Dark-eyed Junco,Junco hyemalis,2020-09-26 10:55,Fay Yard,33.772141,-118.392734,2020
25,Wilson's Warbler,Cardellina pusilla,2020-09-26 10:55,Fay Yard,33.772141,-118.392734,2020
26,California Scrub-Jay,Aphelocoma californica,2020-09-26 10:46,Creekside Park (CC Co.),37.8985683,-122.3051063,2020
27,American Crow,Corvus brachyrhynchos,2020-09-26 10:46,Creekside Park (CC Co.),37.8985683,-122.3051063,2020
28,Chestnut-backed Chickadee,Poecile rufescens,2020-09-26 10:46,Creekside Park (CC Co.),37.8985683,-122.3051063,2020
29,Oak Titmouse,Baeolophus inornatus,2020-09-26 10:46,Creekside Park (CC Co.),37.8985683,-122.3051063,2020
30,Bushtit,Psaltriparus minimus,2020-09-26 10:46,Creekside Park (CC Co.),37.8985683,-122.3051063,2020
31,Bewick's Wren,Thryomanes bewickii,2020-09-26 10:46,Creekside Park (CC Co.),37.8985683,-122.3051063,2020
32,Song Sparrow,Melospiza melodia,2020-09-26 10:46,Creekside Park (CC Co.),37.8985683,-122.3051063,2020
33,Yellow Warbler,Setophaga petechia,2020-09-26 10:46,Creekside Park (CC Co.),37.8985683,-122.3051063,2020
34,Scaly-breasted Munia,Lonchura punctulata,2020-09-26 10:42,"2876 Ben Lomond Dr, Santa Barbara US-CA 34.45033, -119.71877",34.450329,-119.718765,2020
35,Black Phoebe,Sayornis nigricans,2020-09-26 10:37,Slug Land,40.758927,-124.155247,2020
36,Steller's Jay,Cyanocitta stelleri,2020-09-26 10:37,Slug Land,40.758927,-124.155247,2020
37,Golden-crowned Kinglet,Regulus satrapa,2020-09-26 10:37,Slug Land,40.758927,-124.155247,2020
38,Swainson's Thrush,Catharus ustulatus,2020-09-26 10:37,Slug Land,40.758927,-124.155247,2020
39,American Goldfinch,Spinus tristis,2020-09-26 10:37,Slug Land,40.758927,-124.155247,2020
40,Common Yellowthroat,Geothlypis trichas,2020-09-26 10:37,Slug Land,40.758927,-124.155247,2020
41,California Quail,Callipepla californica,2020-09-26 10:36,"1209 Azalea Dr, Frazier Park US-CA 34.83255, -119.14971",34.832554,-119.14971,2020
42,Acorn Woodpecker,Melanerpes formicivorus,2020-09-26 10:36,"1209 Azalea Dr, Frazier Park US-CA 34.83255, -119.14971",34.832554,-119.14971,2020
43,Mountain Chickadee,Poecile gambeli,2020-09-26 10:36,"1209 Azalea Dr, Frazier Park US-CA 34.83255, -119.14971",34.832554,-119.14971,2020
44,Red-shouldered Hawk,Buteo lineatus,2020-09-26 10:33,"4902 Dowell Lane, Placerville, California, US (38.672, -120.77)",38.6721121,-120.7695714,2020
45,Red-breasted Nuthatch,Sitta canadensis,2020-09-26 10:33,"4902 Dowell Lane, Placerville, California, US (38.672, -120.77)",38.6721121,-120.7695714,2020
46,Spotted Towhee,Pipilo maculatus,2020-09-26 10:33,"4902 Dowell Lane, Placerville, California, US (38.672, -120.77)",38.6721121,-120.7695714,2020
47,Pacific-slope Flycatcher,Empidonax difficilis,2020-09-26 10:32,Wardlow Park,33.8204797,-118.1287766,2020
48,Swinhoe's White-eye,Zosterops simplex,2020-09-26 10:32,Wardlow Park,33.8204797,-118.1287766,2020
49,Orange-crowned Warbler,Leiothlypis celata,2020-09-26 10:32,Wardlow Park,33.8204797,-118.1287766,2020
50,Rock Pigeon,Columba livia,2020-09-26 10:30,Home,34.175352,-118.334302,2020
51,Vaux's Swift,Chaetura vauxi,2020-09-26 10:30,UC Santa Barbara--West Campus Bluff Trail,34.4093262,-119.8750877,2020
52,American White Pelican,Pelecanus erythrorhynchos,2020-09-26 10:29,Success Lake--Tule & Rocky Hill Areas/CA-190 viewing locations,36.0708167,-118.9145135,2020
53,Western Gull,Larus occidentalis,2020-09-26 10:26,Backyard,37.7083185,-122.4581184,2020
54,California Gull,Larus californicus,2020-09-26 10:26,Backyard,37.7083185,-122.4581184,2020
55,gull sp.,Larinae sp.,2020-09-26 10:26,Backyard,37.7083185,-122.4581184,2020
56,Canada Goose,Branta canadensis,2020-09-26 10:24,Scottsdale Pond,38.0897154,-122.5591421,2020
57,Gadwall,Mareca strepera,2020-09-26 10:24,Scottsdale Pond,38.0897154,-122.5591421,2020
58,Mallard,Anas platyrhynchos,2020-09-26 10:24,Scottsdale Pond,38.0897154,-122.5591421,2020
59,Mallard (Domestic type),Anas platyrhynchos (Domestic type),2020-09-26 10:24,Scottsdale Pond,38.0897154,-122.5591421,2020
60,Black-necked Stilt,Himantopus mexicanus,2020-09-26 10:24,Scottsdale Pond,38.0897154,-122.5591421,2020
61,Greater Yellowlegs,Tringa melanoleuca,2020-09-26 10:24,Scottsdale Pond,38.0897154,-122.5591421,2020
62,Ring-billed Gull,Larus delawarensis,2020-09-26 10:24,Scottsdale Pond,38.0897154,-122.5591421,2020
63,Great Egret,Ardea alba,2020-09-26 10:24,Scottsdale Pond,38.0897154,-122.5591421,2020
64,Snowy Egret,Egretta thula,2020-09-26 10:24,Scottsdale Pond,38.0897154,-122.5591421,2020
65,Red-winged Blackbird,Agelaius phoeniceus,2020-09-26 10:24,Scottsdale Pond,38.0897154,-122.5591421,2020
66,Wild Turkey,Meleagris gallopavo,2020-09-26 10:23,Petaluma - Queens Lane Yard,38.274053,-122.7244145,2020
67,Red-tailed Hawk,Buteo jamaicensis,2020-09-26 10:23,Petaluma - Queens Lane Yard,38.274053,-122.7244145,2020
68,Nuttall's Woodpecker,Dryobates nuttallii,2020-09-26 10:23,Petaluma - Queens Lane Yard,38.274053,-122.7244145,2020
69,swallow sp.,Hirundinidae sp.,2020-09-26 10:23,Petaluma - Queens Lane Yard,38.274053,-122.7244145,2020
70,White-faced Ibis,Plegadis chihi,2020-09-26 10:22,I-5--Maxwell Rest Area,39.2410398,-122.181834,2020
71,California Thrasher,Toxostoma redivivum,2020-09-26 10:19,Pebble Beach--Beach House rocky shore only,36.6085294,-121.9532847,2020
72,Muscovy Duck (Domestic type),Cairina moschata (Domestic type),2020-09-26 10:18,"Peck Road Water Conservation Park, Arcadia US-CA 34.10119, -118.01390",34.101189,-118.0139,2020
73,Allen's Hummingbird,Selasphorus sasin,2020-09-26 10:18,Tarragona Dr.,32.7553044,-117.062473,2020
74,Least Sandpiper,Calidris minutilla,2020-09-26 10:18,"Peck Road Water Conservation Park, Arcadia US-CA 34.10119, -118.01390",34.101189,-118.0139,2020
75,Green Heron,Butorides virescens,2020-09-26 10:18,"Peck Road Water Conservation Park, Arcadia US-CA 34.10119, -118.01390",34.101189,-118.0139,2020
76,Cooper's Hawk,Accipiter cooperii,2020-09-26 10:18,"Peck Road Water Conservation Park, Arcadia US-CA 34.10119, -118.01390",34.101189,-118.0139,2020
77,Cassin's Kingbird,Tyrannus vociferans,2020-09-26 10:18,"Peck Road Water Conservation Park, Arcadia US-CA 34.10119, -118.01390",34.101189,-118.0139,2020
78,Blue-gray Gnatcatcher,Polioptila caerulea,2020-09-26 10:18,"Peck Road Water Conservation Park, Arcadia US-CA 34.10119, -118.01390",34.101189,-118.0139,2020
79,Cedar Waxwing,Bombycilla cedrorum,2020-09-26 10:18,"Peck Road Water Conservation Park, Arcadia US-CA 34.10119, -118.01390",34.101189,-118.0139,2020
80,Savannah Sparrow,Passerculus sandwichensis,2020-09-26 10:18,"Peck Road Water Conservation Park, Arcadia US-CA 34.10119, -118.01390",34.101189,-118.0139,2020
81,Band-tailed Pigeon,Patagioenas fasciata,2020-09-26 10:15,Stanford Avenue,36.9836062,-122.0121646,2020
82,Mourning Dove,Zenaida macroura,2020-09-26 10:15,Stanford Avenue,36.9836062,-122.0121646,2020
83,Golden-crowned Sparrow,Zonotrichia atricapilla,2020-09-26 10:15,Stanford Avenue,36.9836062,-122.0121646,2020
84,Sandhill Crane,Antigone canadensis,2020-09-26 10:12,Beckwith Rd.--west of Gates Rd.,37.681339,-121.182211,2020
85,Tree Swallow,Tachycineta bicolor,2020-09-26 10:12,Beckwith Rd.--west of Gates Rd.,37.681339,-121.182211,2020
86,Barn Swallow,Hirundo rustica,2020-09-26 10:12,Beckwith Rd.--west of Gates Rd.,37.681339,-121.182211,2020
