,Common Name,Scientific Name,Date Sited,Location Name,Latitude,Longitude,year
0,Anhinga,Anhinga anhinga,2020-09-26 14:21,"Florida's Turnpike N, Vero Beach US-FL 27.55948, -80.66546",27.559483,-80.665463,2020
1,Little Blue Heron,Egretta caerulea,2020-09-26 14:21,"Florida's Turnpike N, Vero Beach US-FL 27.55948, -80.66546",27.559483,-80.665463,2020
2,Red-shouldered Hawk,Buteo lineatus,2020-09-26 14:21,"Florida's Turnpike N, Vero Beach US-FL 27.55948, -80.66546",27.559483,-80.665463,2020
3,Black Vulture,Coragyps atratus,2020-09-26 14:05,"Florida's Turnpike N, Fort Pierce US-FL 27.39326, -80.39316",27.393265,-80.393164,2020
4,Turkey Vulture,Cathartes aura,2020-09-26 14:05,"Florida's Turnpike N, Fort Pierce US-FL 27.39326, -80.39316",27.393265,-80.393164,2020
5,Muscovy Duck,Cairina moschata,2020-09-26 14:01,"10821 Southwest 48th Terrace, Miami, Florida, US (25.723, -80.371)",25.7225324,-80.3705557,2020
6,Eurasian Collared-Dove,Streptopelia decaocto,2020-09-26 14:01,"10821 Southwest 48th Terrace, Miami, Florida, US (25.723, -80.371)",25.7225324,-80.3705557,2020
7,Common Gallinule,Gallinula galeata,2020-09-26 14:01,"10821 Southwest 48th Terrace, Miami, Florida, US (25.723, -80.371)",25.7225324,-80.3705557,2020
8,Blue-gray Gnatcatcher,Polioptila caerulea,2020-09-26 14:01,"10821 Southwest 48th Terrace, Miami, Florida, US (25.723, -80.371)",25.7225324,-80.3705557,2020
9,Northern Mockingbird,Mimus polyglottos,2020-09-26 14:01,"10821 Southwest 48th Terrace, Miami, Florida, US (25.723, -80.371)",25.7225324,-80.3705557,2020
10,American Redstart,Setophaga ruticilla,2020-09-26 14:01,"10821 Southwest 48th Terrace, Miami, Florida, US (25.723, -80.371)",25.7225324,-80.3705557,2020
11,Rock Pigeon,Columba livia,2020-09-26 13:58,"Florida's Turnpike N, Port Saint Lucie US-FL 27.26327, -80.35268",27.263272,-80.352684,2020
12,Barn Swallow,Hirundo rustica,2020-09-26 13:44,"Florida's Turnpike N, Stuart US-FL 27.03498, -80.23807",27.034981,-80.238072,2020
13,Western Sandpiper,Calidris mauri,2020-09-26 13:36,"1067–1071 Ocean Dr, Juno Beach US-FL 26.88384, -80.05372",26.883842,-80.053723,2020
14,Brown Pelican,Pelecanus occidentalis,2020-09-26 13:36,"1067–1071 Ocean Dr, Juno Beach US-FL 26.88384, -80.05372",26.883842,-80.053723,2020
15,Prairie Warbler,Setophaga discolor,2020-09-26 13:29,Summer Beach,30.5824652,-81.4430244,2020
16,Red-bellied Woodpecker,Melanerpes carolinus,2020-09-26 13:15,Orlando Park,28.082364,-80.572069,2020
17,Blue Jay,Cyanocitta cristata,2020-09-26 13:15,Orlando Park,28.082364,-80.572069,2020
18,Black-throated Blue Warbler,Setophaga caerulescens,2020-09-26 13:15,Orlando Park,28.082364,-80.572069,2020
19,Bald Eagle,Haliaeetus leucocephalus,2020-09-26 13:14,Yardbirds,28.0129924,-81.931578,2020
20,Northern Cardinal,Cardinalis cardinalis,2020-09-26 13:14,Yardbirds,28.0129924,-81.931578,2020
21,Loggerhead Shrike,Lanius ludovicianus,2020-09-26 13:05,Festival Park,26.7000999,-82.0010077,2020
22,Eastern Meadowlark,Sturnella magna,2020-09-26 13:05,Festival Park,26.7000999,-82.0010077,2020
23,Black-bellied Whistling-Duck,Dendrocygna autumnalis,2020-09-26 13:00,KMA Pond,26.739858,-81.72374,2020
24,Boat-tailed Grackle,Quiscalus major,2020-09-26 13:00,KMA Pond,26.739858,-81.72374,2020
25,Cattle Egret,Bubulcus ibis,2020-09-26 12:59,Veranda Gardens,27.2115107,-80.3168392,2020
26,Red Junglefowl (Domestic type),Gallus gallus (Domestic type),2020-09-26 12:56,Truman Waterfront Park,24.552005,-81.807036,2020
27,Common Ground Dove,Columbina passerina,2020-09-26 12:56,Truman Waterfront Park,24.552005,-81.807036,2020
28,Laughing Gull,Leucophaeus atricilla,2020-09-26 12:56,Truman Waterfront Park,24.552005,-81.807036,2020
