,Common Name,Scientific Name,Date Sited,Location Name,Latitude,Longitude,year
0,Rock Pigeon,Columba livia,2019-09-26 18:02,"Honolua Bay, West Maui",21.0128874,-156.638217,2019
1,Black-crowned Night-Heron,Nycticorax nycticorax,2019-09-26 18:02,"Honolua Bay, West Maui",21.0128874,-156.638217,2019
2,Gray Francolin,Francolinus pondicerianus,2019-09-26 17:20,Mauna Lani South Golf Course,19.930047,-155.8766429,2019
3,Spotted Dove,Streptopelia chinensis,2019-09-26 17:20,Mauna Lani South Golf Course,19.930047,-155.8766429,2019
4,Zebra Dove,Geopelia striata,2019-09-26 17:20,Mauna Lani South Golf Course,19.930047,-155.8766429,2019
5,Pacific Golden-Plover,Pluvialis fulva,2019-09-26 17:20,Mauna Lani South Golf Course,19.930047,-155.8766429,2019
6,Bristle-thighed Curlew,Numenius tahitiensis,2019-09-26 17:20,Mauna Lani South Golf Course,19.930047,-155.8766429,2019
7,Cattle Egret,Bubulcus ibis,2019-09-26 17:20,Mauna Lani South Golf Course,19.930047,-155.8766429,2019
8,Common Myna,Acridotheres tristis,2019-09-26 17:20,Mauna Lani South Golf Course,19.930047,-155.8766429,2019
9,House Sparrow,Passer domesticus,2019-09-26 17:20,Mauna Lani South Golf Course,19.930047,-155.8766429,2019
10,House Finch,Haemorhous mexicanus,2019-09-26 17:20,Mauna Lani South Golf Course,19.930047,-155.8766429,2019
11,Northern Cardinal,Cardinalis cardinalis,2019-09-26 17:20,Mauna Lani South Golf Course,19.930047,-155.8766429,2019
12,Yellow-billed Cardinal,Paroaria capitata,2019-09-26 17:20,Mauna Lani South Golf Course,19.930047,-155.8766429,2019
13,Saffron Finch,Sicalis flaveola,2019-09-26 17:20,Mauna Lani South Golf Course,19.930047,-155.8766429,2019
14,Red Junglefowl,Gallus gallus,2019-09-26 16:31,"779 Kokee Road, Waimea, Hawaii, US (22.109, -159.67)",22.1094029,-159.6696446,2019
15,White-tailed Tropicbird,Phaethon lepturus,2019-09-26 16:31,"779 Kokee Road, Waimea, Hawaii, US (22.109, -159.67)",22.1094029,-159.6696446,2019
16,Black Noddy,Anous minutus,2019-09-26 16:23,Keokea Beach Park,20.2276807,-155.7455885,2019
17,Wedge-tailed Shearwater,Ardenna pacifica,2019-09-26 16:23,Keokea Beach Park,20.2276807,-155.7455885,2019
18,Sooty Shearwater,Ardenna grisea,2019-09-26 16:23,Keokea Beach Park,20.2276807,-155.7455885,2019
19,Procellariid sp.,Procellariidae sp.,2019-09-26 16:23,Keokea Beach Park,20.2276807,-155.7455885,2019
20,Red-vented Bulbul,Pycnonotus cafer,2019-09-26 16:16,Hanauma Bay Beach Park,21.2717791,-157.6973248,2019
21,Red-crested Cardinal,Paroaria coronata,2019-09-26 16:16,Hanauma Bay Beach Park,21.2717791,-157.6973248,2019
22,Hawaiian Goose,Branta sandvicensis,2019-09-26 15:27,Kanaha Pond Wildlife Sanctuary,20.8926173,-156.4581578,2019
23,Red Junglefowl (Domestic type),Gallus gallus (Domestic type),2019-09-26 15:27,Kanaha Pond Wildlife Sanctuary,20.8926173,-156.4581578,2019
24,Hawaiian Coot,Fulica alai,2019-09-26 15:27,Kanaha Pond Wildlife Sanctuary,20.8926173,-156.4581578,2019
25,Black-necked Stilt,Himantopus mexicanus,2019-09-26 15:27,Kanaha Pond Wildlife Sanctuary,20.8926173,-156.4581578,2019
26,Ruddy Turnstone,Arenaria interpres,2019-09-26 15:27,Kanaha Pond Wildlife Sanctuary,20.8926173,-156.4581578,2019
27,Sanderling,Calidris alba,2019-09-26 15:27,Kanaha Pond Wildlife Sanctuary,20.8926173,-156.4581578,2019
28,Pectoral Sandpiper,Calidris melanotos,2019-09-26 15:27,Kanaha Pond Wildlife Sanctuary,20.8926173,-156.4581578,2019
29,Warbling White-eye,Zosterops japonicus,2019-09-26 15:27,Kanaha Pond Wildlife Sanctuary,20.8926173,-156.4581578,2019
30,African Silverbill,Euodice cantans,2019-09-26 15:27,Kanaha Pond Wildlife Sanctuary,20.8926173,-156.4581578,2019
31,Mallard x Hawaiian Duck (hybrid),Anas platyrhynchos x wyvilliana,2019-09-26 15:25,Pearl Harbor NWR--Honouliuli Unit (restricted access),21.3567,-158.0194,2019
32,Common Gallinule,Gallinula galeata,2019-09-26 15:25,Pearl Harbor NWR--Honouliuli Unit (restricted access),21.3567,-158.0194,2019
33,Wandering Tattler,Tringa incana,2019-09-26 15:25,Pearl Harbor NWR--Honouliuli Unit (restricted access),21.3567,-158.0194,2019
34,Red-whiskered Bulbul,Pycnonotus jocosus,2019-09-26 15:25,Pearl Harbor NWR--Honouliuli Unit (restricted access),21.3567,-158.0194,2019
35,White-rumped Shama,Copsychus malabaricus,2019-09-26 15:25,Pearl Harbor NWR--Honouliuli Unit (restricted access),21.3567,-158.0194,2019
36,Common Waxbill,Estrilda astrild,2019-09-26 15:25,Pearl Harbor NWR--Honouliuli Unit (restricted access),21.3567,-158.0194,2019
37,Hawaiian Hawk,Buteo solitarius,2019-09-26 14:53,"RT-200, Hilo US-HI (19.6794,-155.1528)",19.679359,-155.152754,2019
38,Mallard (Domestic type),Anas platyrhynchos (Domestic type),2019-09-26 14:50,Kahuku Aqua Ponds,21.6830426,-157.958293,2019
39,Scaly-breasted Munia,Lonchura punctulata,2019-09-26 14:34,HI: Kealia Pond NWR - Boardwalk,20.7954888,-156.4852881,2019
40,Mourning Dove,Zenaida macroura,2019-09-26 13:36,HI: Kealia Pond NWR - Kanuimanu Fishponds,20.7948215,-156.4709038,2019
41,Long-billed Dowitcher,Limnodromus scolopaceus,2019-09-26 13:36,HI: Kealia Pond NWR - Kanuimanu Fishponds,20.7948215,-156.4709038,2019
42,Orange-cheeked Waxbill,Estrilda melpoda,2019-09-26 13:36,HI: Kealia Pond NWR - Kanuimanu Fishponds,20.7948215,-156.4709038,2019
43,Chestnut Munia,Lonchura atricapilla,2019-09-26 13:36,HI: Kealia Pond NWR - Kanuimanu Fishponds,20.7948215,-156.4709038,2019
44,Java Sparrow,Lonchura oryzivora,2019-09-26 13:36,HI: Kealia Pond NWR - Kanuimanu Fishponds,20.7948215,-156.4709038,2019
45,Hawaiian Duck,Anas wyvilliana,2019-09-26 13:19,Hokuala Golf Course (formerly Kauai Lagoons Golf Course),21.962711,-159.3432784,2019
46,Northern Mockingbird,Mimus polyglottos,2019-09-26 13:19,Hokuala Golf Course (formerly Kauai Lagoons Golf Course),21.962711,-159.3432784,2019
47,Apapane,Himatione sanguinea,2019-09-26 13:04,"96720, Hilo US-HI (19.6539,-155.2461)",19.653887,-155.246117,2019
48,Iiwi,Drepanis coccinea,2019-09-26 13:04,"96720, Hilo US-HI (19.6539,-155.2461)",19.653887,-155.246117,2019
49,Ring-necked Pheasant,Phasianus colchicus,2019-09-26 11:30,Haleakala NP--Halemau'u Trail,20.7553514,-156.2233114,2019
50,Eurasian Skylark,Alauda arvensis,2019-09-26 11:30,Haleakala NP--Halemau'u Trail,20.7553514,-156.2233114,2019
