,Common Name,Scientific Name,Date Sited,Location Name,Latitude,Longitude,year
0,Merlin,Falco columbarius,2020-09-26 13:26,Rice Lake State FWA--Copperas Landing,40.4750914,-89.8893131,2020
1,Snow Goose,Anser caerulescens,2020-09-26 13:11,"2560 Miller Rd, Geneva US-IL 41.87045, -88.34339",41.870446,-88.343386,2020
2,Canada Goose,Branta canadensis,2020-09-26 13:11,"2560 Miller Rd, Geneva US-IL 41.87045, -88.34339",41.870446,-88.343386,2020
3,Ring-billed Gull,Larus delawarensis,2020-09-26 13:11,"2560 Miller Rd, Geneva US-IL 41.87045, -88.34339",41.870446,-88.343386,2020
4,Red-bellied Woodpecker,Melanerpes carolinus,2020-09-26 13:08,Trey’s Yard,37.693573,-89.205268,2020
5,Eastern Wood-Pewee,Contopus virens,2020-09-26 13:08,Trey’s Yard,37.693573,-89.205268,2020
6,American Crow,Corvus brachyrhynchos,2020-09-26 13:08,Trey’s Yard,37.693573,-89.205268,2020
7,Tufted Titmouse,Baeolophus bicolor,2020-09-26 13:08,Trey’s Yard,37.693573,-89.205268,2020
8,Carolina Wren,Thryothorus ludovicianus,2020-09-26 13:08,Trey’s Yard,37.693573,-89.205268,2020
9,American Redstart,Setophaga ruticilla,2020-09-26 13:08,Trey’s Yard,37.693573,-89.205268,2020
10,Magnolia Warbler,Setophaga magnolia,2020-09-26 13:08,Trey’s Yard,37.693573,-89.205268,2020
11,Bald Eagle,Haliaeetus leucocephalus,2020-09-26 12:52,"3600 East Cook Street, Springfield, Illinois, US (39.794, -89.597)",39.7940594,-89.5971413,2020
12,Wood Duck,Aix sponsa,2020-09-26 12:45,Gridley WTP (restricted access),40.73,-88.871154,2020
13,Blue-winged Teal,Spatula discors,2020-09-26 12:45,Gridley WTP (restricted access),40.73,-88.871154,2020
14,Northern Shoveler,Spatula clypeata,2020-09-26 12:45,Gridley WTP (restricted access),40.73,-88.871154,2020
15,Mallard,Anas platyrhynchos,2020-09-26 12:45,Gridley WTP (restricted access),40.73,-88.871154,2020
16,Pied-billed Grebe,Podilymbus podiceps,2020-09-26 12:45,Gridley WTP (restricted access),40.73,-88.871154,2020
17,Eurasian Collared-Dove,Streptopelia decaocto,2020-09-26 12:45,Gridley WTP (restricted access),40.73,-88.871154,2020
18,Mourning Dove,Zenaida macroura,2020-09-26 12:45,Clarendon/Windsor Arlington Heights,42.0975073,-87.9666179,2020
19,Ruby-throated Hummingbird,Archilochus colubris,2020-09-26 12:45,Clarendon/Windsor Arlington Heights,42.0975073,-87.9666179,2020
20,Killdeer,Charadrius vociferus,2020-09-26 12:45,Gridley WTP (restricted access),40.73,-88.871154,2020
21,Least Sandpiper,Calidris minutilla,2020-09-26 12:45,Gridley WTP (restricted access),40.73,-88.871154,2020
22,Pectoral Sandpiper,Calidris melanotos,2020-09-26 12:45,Gridley WTP (restricted access),40.73,-88.871154,2020
23,Lesser Yellowlegs,Tringa flavipes,2020-09-26 12:45,Gridley WTP (restricted access),40.73,-88.871154,2020
24,Downy Woodpecker,Dryobates pubescens,2020-09-26 12:45,Clarendon/Windsor Arlington Heights,42.0975073,-87.9666179,2020
25,Northern Flicker,Colaptes auratus,2020-09-26 12:45,Clarendon/Windsor Arlington Heights,42.0975073,-87.9666179,2020
26,Blue Jay,Cyanocitta cristata,2020-09-26 12:45,Clarendon/Windsor Arlington Heights,42.0975073,-87.9666179,2020
27,American Robin,Turdus migratorius,2020-09-26 12:45,Clarendon/Windsor Arlington Heights,42.0975073,-87.9666179,2020
28,American Pipit,Anthus rubescens,2020-09-26 12:45,Gridley WTP (restricted access),40.73,-88.871154,2020
29,House Finch,Haemorhous mexicanus,2020-09-26 12:45,Clarendon/Windsor Arlington Heights,42.0975073,-87.9666179,2020
30,American Goldfinch,Spinus tristis,2020-09-26 12:45,Clarendon/Windsor Arlington Heights,42.0975073,-87.9666179,2020
31,Savannah Sparrow,Passerculus sandwichensis,2020-09-26 12:45,Gridley WTP (restricted access),40.73,-88.871154,2020
32,Northern Cardinal,Cardinalis cardinalis,2020-09-26 12:45,Clarendon/Windsor Arlington Heights,42.0975073,-87.9666179,2020
33,Trumpeter Swan,Cygnus buccinator,2020-09-26 12:42,Rollins Savanna Forest Preserve--North/Drury Lane,42.3749,-88.0324,2020
34,Gadwall,Mareca strepera,2020-09-26 12:42,Rollins Savanna Forest Preserve--North/Drury Lane,42.3749,-88.0324,2020
35,American Wigeon,Mareca americana,2020-09-26 12:42,Rollins Savanna Forest Preserve--North/Drury Lane,42.3749,-88.0324,2020
36,Green-winged Teal,Anas crecca,2020-09-26 12:42,Rollins Savanna Forest Preserve--North/Drury Lane,42.3749,-88.0324,2020
37,American Golden-Plover,Pluvialis dominica,2020-09-26 12:42,Rollins Savanna Forest Preserve--North/Drury Lane,42.3749,-88.0324,2020
38,Semipalmated Plover,Charadrius semipalmatus,2020-09-26 12:42,Rollins Savanna Forest Preserve--North/Drury Lane,42.3749,-88.0324,2020
39,Semipalmated Sandpiper,Calidris pusilla,2020-09-26 12:42,Rollins Savanna Forest Preserve--North/Drury Lane,42.3749,-88.0324,2020
40,Wilson's Snipe,Gallinago delicata,2020-09-26 12:42,Rollins Savanna Forest Preserve--North/Drury Lane,42.3749,-88.0324,2020
41,Double-crested Cormorant,Phalacrocorax auritus,2020-09-26 12:42,Rollins Savanna Forest Preserve--North/Drury Lane,42.3749,-88.0324,2020
42,Great Blue Heron,Ardea herodias,2020-09-26 12:42,Rollins Savanna Forest Preserve--North/Drury Lane,42.3749,-88.0324,2020
43,Great Egret,Ardea alba,2020-09-26 12:42,Rollins Savanna Forest Preserve--North/Drury Lane,42.3749,-88.0324,2020
44,Turkey Vulture,Cathartes aura,2020-09-26 12:40,"Kankakee River Trail, Bourbonnais, Illinois, US (41.189, -87.959)",41.1893078,-87.9588964,2020
45,Black-capped Chickadee,Poecile atricapillus,2020-09-26 12:40,"Kankakee River Trail, Bourbonnais, Illinois, US (41.189, -87.959)",41.1893078,-87.9588964,2020
46,White-breasted Nuthatch,Sitta carolinensis,2020-09-26 12:40,"Kankakee River Trail, Bourbonnais, Illinois, US (41.189, -87.959)",41.1893078,-87.9588964,2020
47,House Sparrow,Passer domesticus,2020-09-26 12:40,"Kankakee River Trail, Bourbonnais, Illinois, US (41.189, -87.959)",41.1893078,-87.9588964,2020
48,passerine sp.,Passeriformes sp.,2020-09-26 12:40,"Kankakee River Trail, Bourbonnais, Illinois, US (41.189, -87.959)",41.1893078,-87.9588964,2020
49,duck sp.,Anatinae sp.,2020-09-26 12:26,"Goose Lake Prairie State Natural Area, Morris US-IL (41.3520,-88.3253)",41.351993,-88.325291,2020
50,Eastern Bluebird,Sialia sialis,2020-09-26 12:26,"Goose Lake Prairie State Natural Area, Morris US-IL (41.3520,-88.3253)",41.351993,-88.325291,2020
51,Common Grackle,Quiscalus quiscula,2020-09-26 12:26,"Goose Lake Prairie State Natural Area, Morris US-IL (41.3520,-88.3253)",41.351993,-88.325291,2020
52,Palm Warbler,Setophaga palmarum,2020-09-26 12:26,"Goose Lake Prairie State Natural Area, Morris US-IL (41.3520,-88.3253)",41.351993,-88.325291,2020
53,Hairy Woodpecker,Dryobates villosus,2020-09-26 12:21,Grand Army of the Republic Memorial Woods,41.8855992,-87.8294472,2020
54,House Wren,Troglodytes aedon,2020-09-26 12:21,Grand Army of the Republic Memorial Woods,41.8855992,-87.8294472,2020
55,Black-and-white Warbler,Mniotilta varia,2020-09-26 12:15,"Unnamed Road, Mahomet, Illinois, US (40.185, -88.419)",40.1854392,-88.4192797,2020
56,American White Pelican,Pelecanus erythrorhynchos,2020-09-26 12:04,Lake Shelbyville--Sullivan Beach,39.534234,-88.611029,2020
57,Green Heron,Butorides virescens,2020-09-26 12:03,"Lincoln Park, Chicago--Caldwell Lilypool",41.9247517,-87.6338089,2020
58,Belted Kingfisher,Megaceryle alcyon,2020-09-26 12:03,"Lincoln Park, Chicago--Caldwell Lilypool",41.9247517,-87.6338089,2020
59,Empidonax sp.,Empidonax sp.,2020-09-26 12:03,"Lincoln Park, Chicago--Caldwell Lilypool",41.9247517,-87.6338089,2020
