,Common Name,Scientific Name,Date Sited,Location Name,Latitude,Longitude,year
0,Cattle Egret,Bubulcus ibis,2020-09-26 13:18,"236 Interstate 35, New Braunfels, Texas, US (29.69, -98.109)",29.6903679,-98.109191,2020
1,Great Egret,Ardea alba,2020-09-26 13:15,"4215 Voyage Dove Drive, Spring, Texas, US (30.113, -95.357)",30.1125906,-95.3566222,2020
2,Snowy Egret,Egretta thula,2020-09-26 13:15,"4215 Voyage Dove Drive, Spring, Texas, US (30.113, -95.357)",30.1125906,-95.3566222,2020
3,Roseate Spoonbill,Platalea ajaja,2020-09-26 13:15,"4215 Voyage Dove Drive, Spring, Texas, US (30.113, -95.357)",30.1125906,-95.3566222,2020
4,Black Vulture,Coragyps atratus,2020-09-26 13:10,"George Park, Richmond US-TX 29.60386, -95.77354",29.603864,-95.773543,2020
5,Turkey Vulture,Cathartes aura,2020-09-26 13:10,"George Park, Richmond US-TX 29.60386, -95.77354",29.603864,-95.773543,2020
6,Red-shouldered Hawk,Buteo lineatus,2020-09-26 13:10,"George Park, Richmond US-TX 29.60386, -95.77354",29.603864,-95.773543,2020
7,Swainson's Hawk,Buteo swainsoni,2020-09-26 13:10,"George Park, Richmond US-TX 29.60386, -95.77354",29.603864,-95.773543,2020
8,American Crow,Corvus brachyrhynchos,2020-09-26 13:10,"George Park, Richmond US-TX 29.60386, -95.77354",29.603864,-95.773543,2020
9,Carolina Wren,Thryothorus ludovicianus,2020-09-26 13:10,"George Park, Richmond US-TX 29.60386, -95.77354",29.603864,-95.773543,2020
10,Northern Mockingbird,Mimus polyglottos,2020-09-26 13:10,"George Park, Richmond US-TX 29.60386, -95.77354",29.603864,-95.773543,2020
11,Eastern Bluebird,Sialia sialis,2020-09-26 13:10,"George Park, Richmond US-TX 29.60386, -95.77354",29.603864,-95.773543,2020
12,Northern Cardinal,Cardinalis cardinalis,2020-09-26 13:10,"George Park, Richmond US-TX 29.60386, -95.77354",29.603864,-95.773543,2020
13,American Oystercatcher,Haematopus palliatus,2020-09-26 13:02,"6021 SH-361, Corpus Christi US-TX 27.74825, -97.11984",27.748248,-97.119837,2020
14,Willet,Tringa semipalmata,2020-09-26 13:02,"6021 SH-361, Corpus Christi US-TX 27.74825, -97.11984",27.748248,-97.119837,2020
15,Laughing Gull,Leucophaeus atricilla,2020-09-26 13:02,"6021 SH-361, Corpus Christi US-TX 27.74825, -97.11984",27.748248,-97.119837,2020
16,Forster's Tern,Sterna forsteri,2020-09-26 13:02,"6021 SH-361, Corpus Christi US-TX 27.74825, -97.11984",27.748248,-97.119837,2020
17,Royal Tern,Thalasseus maximus,2020-09-26 13:02,"6021 SH-361, Corpus Christi US-TX 27.74825, -97.11984",27.748248,-97.119837,2020
18,Brown Pelican,Pelecanus occidentalis,2020-09-26 13:02,"6021 SH-361, Corpus Christi US-TX 27.74825, -97.11984",27.748248,-97.119837,2020
19,Rock Pigeon,Columba livia,2020-09-26 13:01,"US-290 W, Waller US-TX 30.07452, -95.95843",30.07452,-95.958432,2020
20,Mourning Dove,Zenaida macroura,2020-09-26 13:00,Our Backyard,29.5387498,-95.1757018,2020
21,Baltimore Oriole,Icterus galbula,2020-09-26 12:59,Westwood Bend area,31.292738,-94.847344,2020
