,Common Name,Scientific Name,Date Sited,Location Name,Latitude,Longitude,year
0,Northern Flicker,Colaptes auratus,2020-09-26 14:19,"5200–5248 Hog Island Rd, Surry US-VA (37.1533,-76.7004)",37.153303,-76.700367,2020
1,Mourning Dove,Zenaida macroura,2020-09-26 14:14,My Backyard,38.958424,-77.3890123,2020
2,Blue Jay,Cyanocitta cristata,2020-09-26 14:14,My Backyard,38.958424,-77.3890123,2020
3,Carolina Wren,Thryothorus ludovicianus,2020-09-26 14:14,My Backyard,38.958424,-77.3890123,2020
4,Pine Warbler,Setophaga pinus,2020-09-26 14:14,My Backyard,38.958424,-77.3890123,2020
5,Herring Gull,Larus argentatus,2020-09-26 14:04,"26406 Lankford Hwy, Cape Charles US-VA 37.21566, -75.96944",37.215658,-75.969443,2020
6,European Starling,Sturnus vulgaris,2020-09-26 14:04,"26406 Lankford Hwy, Cape Charles US-VA 37.21566, -75.96944",37.215658,-75.969443,2020
7,Northern Cardinal,Cardinalis cardinalis,2020-09-26 14:04,"26406 Lankford Hwy, Cape Charles US-VA 37.21566, -75.96944",37.215658,-75.969443,2020
8,Eastern Wood-Pewee,Contopus virens,2020-09-26 14:00,"3850 Cobbler Mountain Road, Delaplane, Virginia, US (38.88, -77.925)",38.8795153,-77.9254352,2020
9,Ruby-throated Hummingbird,Archilochus colubris,2020-09-26 13:46,Wilson Court,38.0647968,-78.4765059,2020
10,Cooper's Hawk,Accipiter cooperii,2020-09-26 13:46,Wilson Court,38.0647968,-78.4765059,2020
11,Red-shouldered Hawk,Buteo lineatus,2020-09-26 13:46,Wilson Court,38.0647968,-78.4765059,2020
12,Red-bellied Woodpecker,Melanerpes carolinus,2020-09-26 13:46,Wilson Court,38.0647968,-78.4765059,2020
13,Downy Woodpecker,Dryobates pubescens,2020-09-26 13:46,Wilson Court,38.0647968,-78.4765059,2020
14,American Crow,Corvus brachyrhynchos,2020-09-26 13:46,Wilson Court,38.0647968,-78.4765059,2020
15,Carolina Chickadee,Poecile carolinensis,2020-09-26 13:46,Wilson Court,38.0647968,-78.4765059,2020
16,Tufted Titmouse,Baeolophus bicolor,2020-09-26 13:46,Wilson Court,38.0647968,-78.4765059,2020
17,White-breasted Nuthatch,Sitta carolinensis,2020-09-26 13:46,Wilson Court,38.0647968,-78.4765059,2020
18,Gray Catbird,Dumetella carolinensis,2020-09-26 13:46,Wilson Court,38.0647968,-78.4765059,2020
19,Northern Mockingbird,Mimus polyglottos,2020-09-26 13:46,Wilson Court,38.0647968,-78.4765059,2020
