,Common Name,Scientific Name,Date Sighted,Location Name,Num Sighted,Latitude,Longitude,year
0,Barn Owl,Tyto alba,2020-09-22 22:03,"3900 County Road 282, Winslow, Arizona, US (35.007, -110.66)",1.0,35.0073282,-110.659956,2020
1,Common Poorwill,Phalaenoptilus nuttallii,2020-09-22 20:41,Portal,1.0,31.9136009,-109.1408005,2020
2,Lesser Nighthawk,Chordeiles acutipennis,2020-09-22 20:00,Festival,2.0,33.670035,-112.643982,2020
3,Canada Goose,Branta canadensis,2020-09-22 19:05,"Many Farms Lake, Concho US-AZ 36.36288, -109.58620",35.0,36.362884,-109.586197,2020
4,Mourning Dove,Zenaida macroura,2020-09-22 19:05,"Many Farms Lake, Concho US-AZ 36.36288, -109.58620",1.0,36.362884,-109.586197,2020
5,Western Sandpiper,Calidris mauri,2020-09-22 19:05,"Many Farms Lake, Concho US-AZ 36.36288, -109.58620",2.0,36.362884,-109.586197,2020
6,Common Raven,Corvus corax,2020-09-22 19:05,"Many Farms Lake, Concho US-AZ 36.36288, -109.58620",1.0,36.362884,-109.586197,2020
7,American Pipit,Anthus rubescens,2020-09-22 19:05,"Many Farms Lake, Concho US-AZ 36.36288, -109.58620",3.0,36.362884,-109.586197,2020
8,sparrow sp.,Passerellidae sp. (sparrow sp.),2020-09-22 19:05,"Many Farms Lake, Concho US-AZ 36.36288, -109.58620",2.0,36.362884,-109.586197,2020
9,MacGillivray's Warbler,Geothlypis tolmiei,2020-09-22 19:05,"Many Farms Lake, Concho US-AZ 36.36288, -109.58620",1.0,36.362884,-109.586197,2020
10,Townsend's Warbler,Setophaga townsendi,2020-09-22 19:05,"Many Farms Lake, Concho US-AZ 36.36288, -109.58620",3.0,36.362884,-109.586197,2020
11,Northern Pygmy-Owl,Glaucidium gnoma,2020-09-22 19:00,Cave Creek Canyon--John Hands CG,1.0,31.8785052,-109.2224693,2020
12,Black-chinned Hummingbird,Archilochus alexandri,2020-09-22 18:59,"2358 S Rock House Rd, San Simon US-AZ 31.91381, -109.14093",2.0,31.913814,-109.140933,2020
13,Rufous Hummingbird,Selasphorus rufus,2020-09-22 18:59,"2358 S Rock House Rd, San Simon US-AZ 31.91381, -109.14093",4.0,31.913814,-109.140933,2020
14,Calliope Hummingbird,Selasphorus calliope,2020-09-22 18:59,"2358 S Rock House Rd, San Simon US-AZ 31.91381, -109.14093",2.0,31.913814,-109.140933,2020
15,Broad-billed Hummingbird,Cynanthus latirostris,2020-09-22 18:59,"2358 S Rock House Rd, San Simon US-AZ 31.91381, -109.14093",1.0,31.913814,-109.140933,2020
16,Mexican Whip-poor-will,Antrostomus arizonae,2020-09-22 18:50,Portal Rd--east of town,1.0,31.894642,-109.0883046,2020
