,Common Name,Scientific Name,Date Sighted,Location Name,Num Sighted,Latitude,Longitude,year
0,Pacific Golden-Plover,Pluvialis fulva,2020-09-22 20:00,Lanai,1.0,21.9065438,-159.5822563,2020
1,Spotted Dove,Streptopelia chinensis,2020-09-22 17:06,"Anela St, Hilo",5.0,19.68826,-155.077974,2020
2,Zebra Dove,Geopelia striata,2020-09-22 17:06,"Anela St, Hilo",15.0,19.68826,-155.077974,2020
3,Common Myna,Acridotheres tristis,2020-09-22 17:06,"Anela St, Hilo",5.0,19.68826,-155.077974,2020
4,Scaly-breasted Munia,Lonchura punctulata,2020-09-22 17:06,"Anela St, Hilo",25.0,19.68826,-155.077974,2020
5,Java Sparrow,Lonchura oryzivora,2020-09-22 17:06,"Anela St, Hilo",17.0,19.68826,-155.077974,2020
6,House Finch,Haemorhous mexicanus,2020-09-22 17:06,"Anela St, Hilo",15.0,19.68826,-155.077974,2020
7,Yellow-fronted Canary,Crithagra mozambica,2020-09-22 17:06,"Anela St, Hilo",10.0,19.68826,-155.077974,2020
8,Saffron Finch,Sicalis flaveola,2020-09-22 17:06,"Anela St, Hilo",2.0,19.68826,-155.077974,2020
9,Hawaiian Goose,Branta sandvicensis,2020-09-22 16:35,"3900 Iona Road, Hanapepe, Hawaii, US (21.911, -159.586)",4.0,21.9112405,-159.58604,2020
10,Red Junglefowl (Domestic type),Gallus gallus (Domestic type),2020-09-22 14:35,Archie Baker Park,15.0,21.3079673,-157.8310839,2020
11,White Tern,Gygis alba,2020-09-22 14:35,Archie Baker Park,4.0,21.3079673,-157.8310839,2020
12,Rose-ringed Parakeet,Psittacula krameri,2020-09-22 14:35,Archie Baker Park,15.0,21.3079673,-157.8310839,2020
13,Red-vented Bulbul,Pycnonotus cafer,2020-09-22 14:35,Archie Baker Park,7.0,21.3079673,-157.8310839,2020
14,Warbling White-eye,Zosterops japonicus,2020-09-22 14:35,Archie Baker Park,5.0,21.3079673,-157.8310839,2020
15,White-rumped Shama,Copsychus malabaricus,2020-09-22 14:35,Archie Baker Park,3.0,21.3079673,-157.8310839,2020
16,Common Waxbill,Estrilda astrild,2020-09-22 14:35,Archie Baker Park,10.0,21.3079673,-157.8310839,2020
17,House Sparrow,Passer domesticus,2020-09-22 14:35,Archie Baker Park,10.0,21.3079673,-157.8310839,2020
18,Northern Cardinal,Cardinalis cardinalis,2020-09-22 14:35,Archie Baker Park,1.0,21.3079673,-157.8310839,2020
19,Red-crested Cardinal,Paroaria coronata,2020-09-22 14:35,Archie Baker Park,2.0,21.3079673,-157.8310839,2020
20,Yellow-billed Cardinal,Paroaria capitata,2020-09-22 14:04,University of the Nations-Kona,2.0,19.6320952,-155.982406,2020
21,White-tailed Tropicbird,Phaethon lepturus,2020-09-22 13:30,Waipio Valley Overlook,2.0,20.1180411,-155.5843878,2020
22,Red-footed Booby,Sula sula,2020-09-22 13:30,Waipio Valley Overlook,1.0,20.1180411,-155.5843878,2020
23,Great Frigatebird,Fregata minor,2020-09-22 12:55,Laupahoehoe Point County Park,1.0,19.992466,-155.2411938,2020
24,Hawaiian Duck,Anas wyvilliana,2020-09-22 08:33,Kawaiele State Waterbird Sanctuary,2.0,22.0099791,-159.7679526,2020
25,Black Francolin,Francolinus francolinus,2020-09-22 08:33,Kawaiele State Waterbird Sanctuary,1.0,22.0099791,-159.7679526,2020
26,Common Gallinule,Gallinula galeata,2020-09-22 08:33,Kawaiele State Waterbird Sanctuary,2.0,22.0099791,-159.7679526,2020
27,Hawaiian Coot,Fulica alai,2020-09-22 08:33,Kawaiele State Waterbird Sanctuary,3.0,22.0099791,-159.7679526,2020
28,Black-necked Stilt,Himantopus mexicanus,2020-09-22 08:33,Kawaiele State Waterbird Sanctuary,18.0,22.0099791,-159.7679526,2020
29,Ruddy Turnstone,Arenaria interpres,2020-09-22 08:33,Kawaiele State Waterbird Sanctuary,8.0,22.0099791,-159.7679526,2020
30,Sharp-tailed Sandpiper,Calidris acuminata,2020-09-22 08:33,Kawaiele State Waterbird Sanctuary,1.0,22.0099791,-159.7679526,2020
31,Cattle Egret,Bubulcus ibis,2020-09-22 08:33,Kawaiele State Waterbird Sanctuary,2.0,22.0099791,-159.7679526,2020
32,Black-crowned Night-Heron,Nycticorax nycticorax,2020-09-22 08:33,Kawaiele State Waterbird Sanctuary,4.0,22.0099791,-159.7679526,2020
33,Chinese Hwamei,Garrulax canorus,2020-09-22 08:33,Kawaiele State Waterbird Sanctuary,1.0,22.0099791,-159.7679526,2020
34,Northern Mockingbird,Mimus polyglottos,2020-09-22 08:33,Kawaiele State Waterbird Sanctuary,1.0,22.0099791,-159.7679526,2020
35,Red Avadavat,Amandava amandava,2020-09-22 08:33,Kawaiele State Waterbird Sanctuary,2.0,22.0099791,-159.7679526,2020
36,Gray Francolin,Francolinus pondicerianus,2020-09-22 08:13,"Kahoe Road, Kona Paradise Subdivision",2.0,19.3138691,-155.8867604,2020
37,Red-billed Leiothrix,Leiothrix lutea,2020-09-22 08:13,"Kahoe Road, Kona Paradise Subdivision",1.0,19.3138691,-155.8867604,2020
38,Lavender Waxbill,Estrilda coerulescens,2020-09-22 08:13,"Kahoe Road, Kona Paradise Subdivision",2.0,19.3138691,-155.8867604,2020
39,Ring-necked Pheasant,Phasianus colchicus,2020-09-22 07:55,"Kiko Road, Hawaii, US (22.039, -159.763)",1.0,22.0387871,-159.7634804,2020
40,Rock Pigeon,Columba livia,2020-09-22 07:55,"Kiko Road, Hawaii, US (22.039, -159.763)",1.0,22.0387871,-159.7634804,2020
41,African Silverbill,Euodice cantans,2020-09-22 07:55,"Kiko Road, Hawaii, US (22.039, -159.763)",30.0,22.0387871,-159.7634804,2020
42,Chestnut Munia,Lonchura atricapilla,2020-09-22 07:37,"Kiko Road, Hawaii, US (22.038, -159.766)",3.0,22.0380937,-159.7655238,2020
43,passerine sp.,Passeriformes sp.,2020-09-22 07:37,"Kiko Road, Hawaii, US (22.038, -159.766)",15.0,22.0380937,-159.7655238,2020
44,House Sparrow,Passer domesticus,2019-09-22 18:45,OGG,1.0,20.8967095,-156.440718,2019
45,Pacific Golden-Plover,Pluvialis fulva,2019-09-22 17:55,"Mauna Lani, Hawaii",1.0,19.9485899,-155.851257,2019
46,Short-eared Owl,Asio flammeus,2019-09-22 17:19,"71-1613–71-1619 Mamalahoa Hwy, Captain Cook US-HI (19.8000,-155.8505)",1.0,19.80003,-155.85054,2019
47,Spotted Dove,Streptopelia chinensis,2019-09-22 17:06,"8th & Kilauea, Honolulu, Hawaii, US (21.277, -157.808)",5.0,21.2771154,-157.8078216,2019
48,Zebra Dove,Geopelia striata,2019-09-22 17:06,"8th & Kilauea, Honolulu, Hawaii, US (21.277, -157.808)",2.0,21.2771154,-157.8078216,2019
49,Gray Francolin,Francolinus pondicerianus,2019-09-22 16:37,"75-6060 Kuakini Hwy, Holualoa US-HI (19.6223,-155.9792)",5.0,19.622327,-155.979194,2019
50,Cattle Egret,Bubulcus ibis,2019-09-22 16:37,"75-6060 Kuakini Hwy, Holualoa US-HI (19.6223,-155.9792)",3.0,19.622327,-155.979194,2019
51,Red-masked Parakeet,Psittacara erythrogenys,2019-09-22 16:37,"75-6060 Kuakini Hwy, Holualoa US-HI (19.6223,-155.9792)",6.0,19.622327,-155.979194,2019
52,Warbling White-eye,Zosterops japonicus,2019-09-22 16:37,"75-6060 Kuakini Hwy, Holualoa US-HI (19.6223,-155.9792)",3.0,19.622327,-155.979194,2019
53,Common Myna,Acridotheres tristis,2019-09-22 16:37,"75-6060 Kuakini Hwy, Holualoa US-HI (19.6223,-155.9792)",5.0,19.622327,-155.979194,2019
54,Common Waxbill,Estrilda astrild,2019-09-22 16:37,"75-6060 Kuakini Hwy, Holualoa US-HI (19.6223,-155.9792)",2.0,19.622327,-155.979194,2019
55,House Finch,Haemorhous mexicanus,2019-09-22 16:37,"75-6060 Kuakini Hwy, Holualoa US-HI (19.6223,-155.9792)",6.0,19.622327,-155.979194,2019
56,Yellow-fronted Canary,Crithagra mozambica,2019-09-22 16:37,"75-6060 Kuakini Hwy, Holualoa US-HI (19.6223,-155.9792)",2.0,19.622327,-155.979194,2019
57,Northern Cardinal,Cardinalis cardinalis,2019-09-22 16:37,"75-6060 Kuakini Hwy, Holualoa US-HI (19.6223,-155.9792)",1.0,19.622327,-155.979194,2019
58,Yellow-billed Cardinal,Paroaria capitata,2019-09-22 16:37,"75-6060 Kuakini Hwy, Holualoa US-HI (19.6223,-155.9792)",2.0,19.622327,-155.979194,2019
59,Bristle-thighed Curlew,Numenius tahitiensis,2019-09-22 16:30,Mauna Lani South Golf Course,3.0,19.930047,-155.8766429,2019
60,Ruddy Turnstone,Arenaria interpres,2019-09-22 16:30,Mauna Lani South Golf Course,21.0,19.930047,-155.8766429,2019
61,Saffron Finch,Sicalis flaveola,2019-09-22 16:30,Mauna Lani South Golf Course,5.0,19.930047,-155.8766429,2019
62,Japanese Bush Warbler,Horornis diphone,2019-09-22 16:00,"Haleakalā National Park, Hana US-HI (20.6947,-156.0876)",1.0,20.694715,-156.087581,2019
63,Red-billed Leiothrix,Leiothrix lutea,2019-09-22 16:00,"Haleakalā National Park, Hana US-HI (20.6947,-156.0876)",1.0,20.694715,-156.087581,2019
64,Apapane,Himatione sanguinea,2019-09-22 16:00,"Haleakalā National Park, Hana US-HI (20.6947,-156.0876)",1.0,20.694715,-156.087581,2019
65,Iiwi,Drepanis coccinea,2019-09-22 16:00,"Haleakalā National Park, Hana US-HI (20.6947,-156.0876)",1.0,20.694715,-156.087581,2019
66,Hawaii Amakihi,Chlorodrepanis virens,2019-09-22 16:00,"Haleakalā National Park, Hana US-HI (20.6947,-156.0876)",1.0,20.694715,-156.087581,2019
67,Hawaiian Goose,Branta sandvicensis,2019-09-22 15:10,"ワイコロア・ビーチリゾート, Kamuela US-HI (19.9151,-155.8812)",2.0,19.915067,-155.881205,2019
68,Wandering Tattler,Tringa incana,2019-09-22 15:10,"Mauna Lani Golf Course, Kamuela US-HI (19.9424,-155.8761) and the way via Kalahuipuaa Historic Park and Eva Parker Woods Cottage",1.0,19.942372,-155.876069,2019
69,Black-crowned Night-Heron,Nycticorax nycticorax,2019-09-22 15:10,"Mauna Lani Golf Course, Kamuela US-HI (19.9424,-155.8761) and the way via Kalahuipuaa Historic Park and Eva Parker Woods Cottage",1.0,19.942372,-155.876069,2019
70,African Silverbill,Euodice cantans,2019-09-22 15:10,"Mauna Lani Golf Course, Kamuela US-HI (19.9424,-155.8761) and the way via Kalahuipuaa Historic Park and Eva Parker Woods Cottage",2.0,19.942372,-155.876069,2019
71,Rock Pigeon,Columba livia,2019-09-22 15:06,Lana'i Lookout,12.0,21.2764006,-157.68557,2019
72,Red-tailed Tropicbird,Phaethon rubricauda,2019-09-22 15:06,Lana'i Lookout,2.0,21.2764006,-157.68557,2019
73,Brown Booby,Sula leucogaster,2019-09-22 15:06,Lana'i Lookout,2.0,21.2764006,-157.68557,2019
74,Red-footed Booby,Sula sula,2019-09-22 15:06,Lana'i Lookout,1.0,21.2764006,-157.68557,2019
75,Mallard (Domestic type),Anas platyrhynchos (Domestic type),2019-09-22 14:51,Kealakehe Wastewater Treatment Plant,2.0,19.6621002,-156.0179014,2019
76,Northern Pintail,Anas acuta,2019-09-22 14:51,Kealakehe Wastewater Treatment Plant,1.0,19.6621002,-156.0179014,2019
77,Hawaiian Coot,Fulica alai,2019-09-22 14:51,Kealakehe Wastewater Treatment Plant,38.0,19.6621002,-156.0179014,2019
78,Black-necked Stilt,Himantopus mexicanus,2019-09-22 14:51,Kealakehe Wastewater Treatment Plant,27.0,19.6621002,-156.0179014,2019
79,Sanderling,Calidris alba,2019-09-22 14:51,Kealakehe Wastewater Treatment Plant,3.0,19.6621002,-156.0179014,2019
80,Least Tern,Sternula antillarum,2019-09-22 14:51,Kealakehe Wastewater Treatment Plant,2.0,19.6621002,-156.0179014,2019
81,White-faced Ibis,Plegadis chihi,2019-09-22 14:51,Kealakehe Wastewater Treatment Plant,1.0,19.6621002,-156.0179014,2019
82,Indian Peafowl,Pavo cristatus,2019-09-22 14:15,Makalei Golf Club,1.0,19.747099,-155.972881,2019
83,Erckel's Francolin,Pternistis erckelii,2019-09-22 14:15,Makalei Golf Club,1.0,19.747099,-155.972881,2019
84,Kalij Pheasant,Lophura leucomelanos,2019-09-22 14:00,"Pu'u La'au, Palila Discovery Trail and Ka'ohe GMA",4.0,19.8319137,-155.5947653,2019
85,Eurasian Skylark,Alauda arvensis,2019-09-22 14:00,"Pu'u La'au, Palila Discovery Trail and Ka'ohe GMA",8.0,19.8319137,-155.5947653,2019
86,Black Noddy,Anous minutus,2019-09-22 11:45,Hawai'i Volcanoes National Park (general),1.0,19.3292867,-155.194416,2019
87,White-tailed Tropicbird,Phaethon lepturus,2019-09-22 11:45,Hawai'i Volcanoes National Park (general),2.0,19.3292867,-155.194416,2019
88,Hawaiian Hawk,Buteo solitarius,2019-09-22 11:45,Hawai'i Volcanoes National Park (general),2.0,19.3292867,-155.194416,2019
89,Muscovy Duck x Mallard (hybrid),Cairina moschata x Anas platyrhynchos,2019-09-22 11:28,Pu'u Anahulu - Big Island Country Club,3.0,19.821297,-155.843811,2019
90,Wild Turkey,Meleagris gallopavo,2019-09-22 11:28,Pu'u Anahulu - Big Island Country Club,9.0,19.821297,-155.843811,2019
91,Red Avadavat,Amandava amandava,2019-09-22 11:28,Pu'u Anahulu - Big Island Country Club,2.0,19.821297,-155.843811,2019
92,Scaly-breasted Munia,Lonchura punctulata,2019-09-22 11:28,Pu'u Anahulu - Big Island Country Club,3.0,19.821297,-155.843811,2019
93,Northern Mockingbird,Mimus polyglottos,2019-09-22 10:47,"Pohakuloa Cabins, Formerly ""Mauna Kea State Park""",4.0,19.7496797,-155.5236626,2019
94,White Tern,Gygis alba,2019-09-22 09:32,"Outer Drive, Honolulu, Hawaii, US (21.313, -157.848)",2.0,21.3134963,-157.8480851,2019
95,Rose-ringed Parakeet,Psittacula krameri,2019-09-22 09:32,"Outer Drive, Honolulu, Hawaii, US (21.313, -157.848)",2.0,21.3134963,-157.8480851,2019
96,Red-vented Bulbul,Pycnonotus cafer,2019-09-22 09:32,"Outer Drive, Honolulu, Hawaii, US (21.313, -157.848)",4.0,21.3134963,-157.8480851,2019
97,Java Sparrow,Lonchura oryzivora,2019-09-22 09:32,"Outer Drive, Honolulu, Hawaii, US (21.313, -157.848)",1.0,21.3134963,-157.8480851,2019
98,Red-crested Cardinal,Paroaria coronata,2019-09-22 09:32,"Outer Drive, Honolulu, Hawaii, US (21.313, -157.848)",3.0,21.3134963,-157.8480851,2019
99,Ring-necked Pheasant,Phasianus colchicus,2019-09-22 09:30,"Palekaiko Rd, Kamuela US-HI (19.8557,-155.6527)",10.0,19.855669,-155.652685,2019
100,Chestnut-bellied Sandgrouse,Pterocles exustus,2019-09-22 09:30,"68-1839 Paniolo Ave, Waikoloa US-HI (19.9561,-155.7894) and on the R190",25.0,19.956087,-155.789422,2019
101,Hawaiian Duck,Anas wyvilliana,2019-09-22 08:57,Kawaiele State Waterbird Sanctuary,2.0,22.0099791,-159.7679526,2019
102,Common Gallinule,Gallinula galeata,2019-09-22 08:57,Kawaiele State Waterbird Sanctuary,3.0,22.0099791,-159.7679526,2019
103,Chestnut Munia,Lonchura atricapilla,2019-09-22 08:57,Kawaiele State Waterbird Sanctuary,2.0,22.0099791,-159.7679526,2019
104,Rosy-faced Lovebird,Agapornis roseicollis,2019-09-22 08:53,HI: Waikoloa Village - KTA Super Store,4.0,19.9281087,-155.7871896,2019
105,Chinese Hwamei,Garrulax canorus,2019-09-22 07:45,Orchidland Estates 500' elev.,2.0,19.551365,-155.003829,2019
106,Red Junglefowl,Gallus gallus,2019-09-22 07:43,Mohihi-Waiale Trail,2.0,22.1148068,-159.5774295,2019
107,Kauai Elepaio,Chasiempis sclateri,2019-09-22 07:43,Mohihi-Waiale Trail,11.0,22.1148068,-159.5774295,2019
108,White-rumped Shama,Copsychus malabaricus,2019-09-22 07:43,Mohihi-Waiale Trail,2.0,22.1148068,-159.5774295,2019
109,Anianiau,Magumma parva,2019-09-22 07:43,Mohihi-Waiale Trail,4.0,22.1148068,-159.5774295,2019
110,Kauai Amakihi,Chlorodrepanis stejnegeri,2019-09-22 07:43,Mohihi-Waiale Trail,4.0,22.1148068,-159.5774295,2019
111,Red Junglefowl (Domestic type),Gallus gallus (Domestic type),2019-09-22 07:15,Samuel M. Spencer Beach Park and Puukohola Heiau,1.0,20.0237542,-155.8225434,2019
112,Oahu Elepaio,Chasiempis ibidis,2019-09-22 07:00,Wailupe Valley - Hao Street Trail,6.0,21.2986485,-157.7565895,2019
113,Gray Francolin,Francolinus pondicerianus,2018-09-22 18:19,Kohanaiki Beach Park,6.0,19.7013619,-156.0477563,2018
114,Pacific Golden-Plover,Pluvialis fulva,2018-09-22 18:19,Kohanaiki Beach Park,3.0,19.7013619,-156.0477563,2018
115,Kalij Pheasant,Lophura leucomelanos,2018-09-22 15:46,Hawai'i Volcanoes NP--Kipuka Puaulu,13.0,19.4405764,-155.3024554,2018
116,Zebra Dove,Geopelia striata,2018-09-22 15:46,Hawai'i Volcanoes NP--Kipuka Puaulu,3.0,19.4405764,-155.3024554,2018
