,Common Name,Scientific Name,Date Sighted,Location Name,Num Sighted,Latitude,Longitude,year
0,Great Horned Owl,Bubo virginianus,2020-09-22 20:05,Mingo Point,1.0,32.5963218,-80.1313127,2020
1,Gray Catbird,Dumetella carolinensis,2020-09-22 19:15,The Parkway Retention Pond,4.0,34.8656682,-82.2604472,2020
2,Northern Cardinal,Cardinalis cardinalis,2020-09-22 19:15,The Parkway Retention Pond,2.0,34.8656682,-82.2604472,2020
3,Mourning Dove,Zenaida macroura,2020-09-22 19:09,Kenwood Ave,1.0,34.3820015,-80.0743568,2020
4,Chimney Swift,Chaetura pelagica,2020-09-22 19:09,Kenwood Ave,17.0,34.3820015,-80.0743568,2020
5,Ruby-throated Hummingbird,Archilochus colubris,2020-09-22 19:09,Kenwood Ave,1.0,34.3820015,-80.0743568,2020
6,Red-bellied Woodpecker,Melanerpes carolinus,2020-09-22 19:09,Kenwood Ave,1.0,34.3820015,-80.0743568,2020
7,Blue Jay,Cyanocitta cristata,2020-09-22 19:09,Kenwood Ave,2.0,34.3820015,-80.0743568,2020
8,Brown Thrasher,Toxostoma rufum,2020-09-22 19:09,Kenwood Ave,1.0,34.3820015,-80.0743568,2020
9,Northern Mockingbird,Mimus polyglottos,2020-09-22 19:09,Kenwood Ave,1.0,34.3820015,-80.0743568,2020
10,American Robin,Turdus migratorius,2020-09-22 19:09,Kenwood Ave,4.0,34.3820015,-80.0743568,2020
11,warbler sp. (Parulidae sp.),Parulidae sp.,2020-09-22 19:09,Kenwood Ave,1.0,34.3820015,-80.0743568,2020
12,Carolina Wren,Thryothorus ludovicianus,2020-09-22 19:04,"Furman University, Greenville US-SC 34.92587, -82.43917",1.0,34.925867,-82.439171,2020
13,Killdeer,Charadrius vociferus,2020-09-22 18:41,"304 Laura Faye Lane, Lyman, South Carolina, US (34.966, -82.13)",1.0,34.9658548,-82.1296348,2020
14,Downy Woodpecker,Dryobates pubescens,2020-09-22 18:41,567 Penn Road,1.0,33.9699308,-80.8627241,2020
15,White-eyed Vireo,Vireo griseus,2020-09-22 18:41,567 Penn Road,1.0,33.9699308,-80.8627241,2020
16,Red-eyed Vireo,Vireo olivaceus,2020-09-22 18:41,567 Penn Road,2.0,33.9699308,-80.8627241,2020
17,Carolina Chickadee,Poecile carolinensis,2020-09-22 18:41,"304 Laura Faye Lane, Lyman, South Carolina, US (34.966, -82.13)",1.0,34.9658548,-82.1296348,2020
18,Tufted Titmouse,Baeolophus bicolor,2020-09-22 18:41,567 Penn Road,4.0,33.9699308,-80.8627241,2020
19,Eastern Bluebird,Sialia sialis,2020-09-22 18:41,"304 Laura Faye Lane, Lyman, South Carolina, US (34.966, -82.13)",2.0,34.9658548,-82.1296348,2020
20,House Finch,Haemorhous mexicanus,2020-09-22 18:41,"304 Laura Faye Lane, Lyman, South Carolina, US (34.966, -82.13)",5.0,34.9658548,-82.1296348,2020
21,American Redstart,Setophaga ruticilla,2020-09-22 18:41,567 Penn Road,1.0,33.9699308,-80.8627241,2020
22,Canada Goose,Branta canadensis,2020-09-22 18:32,"Duncan Park, Spartanburg, SC, USA",12.0,34.9356127,-81.9134729,2020
23,Eastern Phoebe,Sayornis phoebe,2020-09-22 18:32,"Duncan Park, Spartanburg, SC, USA",2.0,34.9356127,-81.9134729,2020
24,Magnolia Warbler,Setophaga magnolia,2020-09-22 18:32,"Duncan Park, Spartanburg, SC, USA",1.0,34.9356127,-81.9134729,2020
25,Chestnut-sided Warbler,Setophaga pensylvanica,2020-09-22 18:32,"Duncan Park, Spartanburg, SC, USA",4.0,34.9356127,-81.9134729,2020
26,Prairie Warbler,Setophaga discolor,2020-09-22 18:32,"Duncan Park, Spartanburg, SC, USA",1.0,34.9356127,-81.9134729,2020
27,Eurasian Collared-Dove,Streptopelia decaocto,2020-09-22 18:30,"149–239 Regional Pkwy, Orangeburg US-SC (33.5518,-80.8216)",3.0,33.551788,-80.821582,2020
28,Northern Parula,Setophaga americana,2020-09-22 18:30,"149–239 Regional Pkwy, Orangeburg US-SC (33.5518,-80.8216)",2.0,33.551788,-80.821582,2020
