year,month,day,checklists,contributors,species
1800,1,1,3,25,5
1800,2,1,0,1,0
1800,10,2,0,1,0
1800,10,14,1,1,0
1800,12,1,0,1,0
1801,10,26,1,1,0
1802,1,2,0,1,1
1802,1,6,1,1,6
1802,1,7,0,1,1
1802,1,15,0,1,2
1802,1,17,0,1,0
1802,1,23,0,1,3
1802,1,25,0,1,1
1802,1,27,0,1,1
1802,1,31,0,1,0
1802,2,1,0,1,1
1802,2,14,0,1,2
1802,2,16,0,1,1
1802,2,17,0,1,1
1802,2,21,0,1,1
1802,2,23,0,1,1
1802,3,2,0,1,2
1802,3,3,0,1,1
1802,3,5,0,1,1
1802,3,10,0,1,1
1802,3,11,0,1,0
1802,3,12,0,1,1
1802,3,15,0,1,1
1802,3,17,0,1,0
1802,3,18,0,1,2
1802,3,20,0,1,0
1802,3,22,0,1,2
1802,3,24,0,1,0
1802,3,30,0,1,1
1802,4,2,0,1,1
1802,4,7,0,1,1
1802,4,11,0,1,1
1802,4,12,0,1,2
1802,4,14,0,1,1
1802,4,15,0,1,1
1802,4,19,0,1,3
1802,4,21,0,1,2
1802,4,22,0,1,1
1802,4,25,0,1,1
1802,4,26,0,1,2
1802,4,28,0,1,3
1802,5,2,0,1,1
1802,5,3,0,1,4
1802,5,4,0,1,1
1802,5,6,0,1,1
1802,5,9,0,1,1
1802,5,15,0,1,1
1802,5,22,0,1,2
1802,5,31,0,1,3
1802,12,2,0,1,1
1802,12,3,0,1,1
1802,12,11,0,1,0
1802,12,13,0,1,3
1802,12,15,0,1,4
1802,12,18,0,1,1
1804,4,10,1,1,3
1806,12,15,0,1,1
1810,3,5,0,1,1
1810,3,16,0,1,1
1810,3,24,0,1,1
1810,4,17,0,1,1
1810,4,21,0,1,1
1810,4,25,0,1,1
1810,5,29,0,1,1
1812,5,19,0,1,1
1813,5,13,0,1,1
1817,5,17,0,1,1
1818,5,7,0,1,0
1818,5,10,0,1,1
1819,1,7,0,1,1
1819,5,25,0,1,1
1820,6,20,0,1,0
1820,11,5,0,1,1
1820,11,19,0,1,1
1820,12,1,0,1,1
1821,3,16,0,1,0
1822,4,17,0,1,0
1823,4,7,0,1,1
1823,9,27,0,1,1
1825,3,6,0,1,1
1825,8,1,0,1,1
1826,1,6,0,1,1
1826,1,8,0,1,1
1826,8,9,0,1,1
1827,2,9,0,1,1
1829,3,11,0,1,1
1830,3,4,0,1,1
1830,3,27,0,1,1
1831,11,24,0,1,1
1831,12,15,0,1,1
1831,12,22,0,1,1
1832,1,1,0,1,1
1833,10,12,0,1,0
1835,5,28,0,1,1
1835,7,15,0,1,1
1837,4,29,0,1,1
1837,5,5,0,1,1
1837,11,27,0,1,1
1838,5,15,1,1,1
1838,5,16,1,1,3
1838,5,17,2,1,3
1838,6,1,1,1,7
1838,6,7,1,1,1
1838,6,9,1,1,2
1838,6,10,1,1,5
1838,6,15,1,1,1
1838,6,16,1,1,3
1838,7,3,1,1,4
1838,7,5,1,1,1
1838,7,15,1,1,1
1838,8,1,1,1,3
1838,9,17,1,1,2
1838,9,30,1,1,1
1838,11,26,1,1,9
1838,12,20,1,1,1
1839,3,21,0,1,0
1840,3,8,0,1,1
1840,7,6,0,1,2
1840,7,7,0,1,1
1842,6,4,0,1,1
1842,6,15,0,1,1
1843,1,1,0,1,1
1843,5,8,0,1,1
1843,6,8,0,1,1
1843,6,18,0,1,2
1843,6,20,0,1,1
1843,6,28,0,1,1
1843,6,30,0,1,1
1843,7,16,0,1,1
1843,7,21,0,1,1
1843,9,16,0,1,1
1845,8,15,0,1,1
1847,1,1,0,1,1
1848,2,9,0,1,1
1848,6,15,0,1,0
1848,8,24,0,1,1
1848,8,28,0,1,1
1849,6,29,0,1,1
1850,1,1,0,1,1
1850,6,1,0,1,1
1850,11,1,0,1,1
1851,3,13,0,1,1
1851,5,10,0,1,1
1851,9,5,1,1,1
1852,4,18,0,1,1
1852,4,20,0,1,1
1853,1,1,0,1,1
1853,5,20,0,1,0
1854,9,1,0,1,1
1854,12,15,0,1,1
1854,12,16,0,1,1
1855,5,25,0,1,1
1856,1,15,0,1,1
1856,5,2,0,1,1
1856,5,4,0,1,1
1857,2,19,0,2,1
1857,5,4,0,1,1
1857,5,11,0,1,1
1857,5,18,0,1,1
1857,10,6,0,1,1
1858,1,1,0,1,1
1858,1,22,0,1,1
1858,3,19,0,1,1
1858,3,22,0,1,1
1858,4,27,0,1,1
1858,5,5,0,1,1
1858,5,8,0,1,1
1859,3,16,0,1,1
1859,3,23,0,1,0
1859,4,11,0,1,1
1859,4,25,0,1,1
1859,4,28,0,1,1
1859,5,6,0,1,1
1859,5,10,0,1,1
1859,8,1,0,1,1
1859,10,1,1,1,1
1860,3,4,0,1,1
1860,3,8,0,1,1
1860,4,30,0,1,1
1860,5,4,0,3,2
1860,5,10,0,1,1
1860,5,24,0,1,1
1860,5,29,0,1,1
1860,6,7,0,1,1
1860,6,15,0,1,1
1860,6,17,0,1,1
1860,7,25,0,1,1
1860,8,1,0,1,1
1860,8,23,0,1,1
1861,3,25,0,1,1
1861,4,3,0,1,1
1861,4,9,0,1,1
1861,4,22,0,1,1
1861,4,26,0,1,1
1861,5,1,0,1,1
1861,5,4,0,1,1
1861,5,7,0,1,1
1861,5,8,0,1,1
1861,5,13,0,1,1
1862,3,5,0,1,1
1862,3,27,0,1,1
1862,5,4,0,1,1
1862,5,8,0,1,1
1862,5,10,0,1,1
1862,5,12,0,1,1
1862,6,10,0,1,1
1862,8,15,0,1,1
1863,3,20,0,1,1
1863,3,31,0,1,1
1863,5,4,0,2,2
1863,5,7,0,1,1
1863,5,10,0,1,1
1863,5,12,0,1,1
1863,5,17,0,1,1
1863,8,3,0,1,0
1863,8,29,0,1,2
1863,12,15,0,1,1
1864,1,3,0,1,1
1864,4,1,0,2,2
1864,4,12,0,1,1
1864,4,19,0,1,1
1864,4,30,0,1,1
1864,5,4,0,1,1
1864,5,5,0,1,1
1864,5,7,0,1,1
1864,5,8,0,1,1
1864,5,13,0,1,1
1864,5,14,0,1,1
1864,5,17,0,1,1
1864,6,1,0,1,1
1864,6,2,0,1,1
1864,6,3,0,1,1
1864,6,25,1,1,2
1864,10,19,0,1,1
1865,3,20,0,1,1
1865,4,10,0,1,1
1865,4,24,0,1,1
1865,4,28,0,1,1
1865,5,3,0,1,2
1865,5,8,0,1,1
1865,6,5,0,1,1
1866,4,3,0,2,2
1866,4,13,0,1,1
1866,4,28,0,1,1
1866,4,29,0,1,1
1866,5,4,0,1,1
1866,5,7,0,1,1
1866,5,8,0,2,2
1866,5,10,0,1,1
1866,8,23,0,1,1
1866,10,10,0,1,0
1866,11,4,0,1,0
1866,12,1,0,1,1
1867,3,25,0,1,1
1867,4,6,0,1,1
1867,4,7,0,1,1
1867,4,10,0,1,1
1867,4,20,0,1,1
1867,4,28,0,1,1
1867,5,5,0,1,1
1867,5,7,0,1,2
1867,5,8,0,1,2
1867,5,17,0,1,1
1867,5,30,0,1,1
1867,7,13,0,1,1
1868,2,19,0,1,1
1868,2,28,0,1,1
1868,3,13,0,1,1
1868,3,16,0,1,0
1868,3,23,0,1,2
1868,4,17,0,1,0
1868,4,21,0,1,1
1868,4,23,0,1,0
1868,4,25,0,2,3
1868,5,1,0,1,3
1868,5,4,0,1,1
1868,5,5,0,2,1
1868,5,11,0,1,2
1868,5,12,0,1,1
1868,5,15,0,1,1
1868,8,15,0,1,3
1868,8,17,0,1,2
1868,9,8,0,1,1
1869,1,1,0,1,1
1869,1,15,0,1,0
1869,2,14,0,1,1
1869,2,15,0,1,1
1869,3,13,0,1,1
1869,3,20,0,1,1
1869,3,25,0,1,1
1869,3,28,0,2,2
1869,4,8,0,1,1
1869,4,21,0,1,1
1869,4,28,0,2,2
1869,4,29,0,1,1
1869,5,1,0,1,2
1869,5,4,0,2,2
1869,5,9,0,1,1
1869,5,14,0,1,1
1869,5,18,0,1,1
1869,5,23,0,1,1
1869,5,27,0,1,1
1869,6,6,0,1,1
1869,6,9,0,1,1
1869,9,6,0,1,1
1869,10,21,0,1,1
1870,1,1,0,1,1
1870,3,7,0,1,1
1870,3,23,0,1,1
1870,3,31,0,1,1
1870,4,27,0,1,1
1870,4,29,0,1,1
1870,5,3,0,1,1
1870,5,5,0,1,2
1870,5,11,0,1,1
1870,5,13,0,1,1
1870,6,3,0,1,1
1870,7,1,0,1,1
1870,11,15,0,1,1
1870,11,27,0,1,1
1871,1,12,0,1,1
1871,4,3,0,1,1
1871,4,12,0,1,1
1871,4,15,0,1,1
1871,4,21,0,1,1
1871,4,30,0,2,2
1871,5,1,0,2,2
1871,5,6,0,1,1
1871,5,8,0,1,1
1871,5,18,0,1,1
1871,5,23,0,1,1
1871,6,2,0,1,0
1871,7,30,0,1,1
1871,9,8,0,1,1
1871,9,28,0,1,1
1871,10,15,0,1,1
1872,2,6,0,1,1
1872,3,15,0,1,0
1872,3,18,0,1,1
1872,3,25,0,1,1
1872,4,2,0,1,1
1872,4,3,0,1,1
1872,4,15,0,2,2
1872,4,17,0,1,0
1872,4,20,0,1,1
1872,4,22,0,1,1
1872,4,28,0,1,1
1872,4,29,0,1,1
1872,5,2,0,1,1
1872,5,7,0,1,1
1872,5,11,0,1,1
1872,5,14,0,1,1
1872,5,15,0,1,1
1872,5,16,0,1,2
1872,5,23,0,1,1
1872,5,26,0,1,5
1872,5,27,0,2,5
1872,5,28,0,1,1
1872,5,29,0,1,2
1872,5,30,0,1,1
1872,6,1,0,1,1
1872,6,3,0,1,1
1872,6,5,0,1,1
1872,6,8,0,1,2
1872,6,9,0,1,3
1872,6,10,0,1,1
1872,6,13,0,1,2
1872,6,14,0,1,1
1872,6,15,0,1,1
1872,6,16,0,1,1
1872,6,18,0,1,2
1872,6,21,0,1,2
1872,6,22,0,1,1
1872,6,23,0,2,2
1872,6,24,0,1,2
1872,6,28,0,1,1
1872,6,29,0,1,2
1872,7,2,0,1,1
1872,7,5,0,1,4
1872,7,9,0,1,3
1872,7,10,0,1,1
1872,7,12,0,1,1
1872,7,13,0,1,3
1872,7,15,0,1,1
1872,7,19,0,1,1
1872,7,20,0,1,1
1872,7,21,0,1,1
1872,8,9,0,1,1
1872,8,15,0,2,0
1872,8,18,0,1,1
1872,8,25,0,1,1
1872,8,27,0,1,1
1872,9,9,0,1,1
1872,10,15,0,2,2
1872,11,27,0,1,1
1873,2,18,0,1,1
1873,3,5,0,1,1
1873,3,11,0,1,1
1873,3,30,0,1,1
1873,5,1,0,1,1
1873,5,2,0,1,1
1873,5,4,0,1,1
1873,5,6,0,3,3
1873,5,7,0,1,1
1873,5,8,0,2,2
1873,5,12,0,1,1
1873,5,14,0,1,1
1873,5,17,0,1,0
1873,5,23,0,1,1
1873,6,7,0,1,1
1873,6,10,0,1,3
1873,6,11,0,1,1
1873,6,13,0,1,2
1873,6,15,1,1,45
1873,6,19,0,1,2
1873,6,20,0,1,3
1873,6,22,0,1,3
1873,6,23,0,1,1
1873,6,24,0,1,1
1873,6,25,0,1,3
1873,6,26,0,1,1
1873,6,27,0,1,1
1873,6,28,0,1,3
1873,6,30,1,1,40
1873,7,1,0,3,6
1873,7,4,0,1,3
1873,7,5,0,2,2
1873,7,7,0,1,4
1873,7,10,0,1,1
1873,7,12,0,1,4
1873,7,19,0,1,1
1873,7,20,0,1,2
1873,7,21,0,1,1
1873,7,22,0,1,6
1873,7,23,0,2,3
1873,7,27,0,1,1
1873,7,28,0,1,1
1873,7,29,0,1,3
1873,8,1,0,2,2
1873,8,2,0,1,0
1873,8,3,0,1,1
1873,8,8,0,1,1
1873,8,10,0,1,1
1873,8,11,0,1,1
1873,8,12,0,1,1
1873,8,18,0,1,1
1873,8,26,0,1,0
1873,8,29,0,1,1
1873,9,2,0,1,1
1873,9,6,0,1,1
1873,9,12,0,1,1
1873,9,15,0,1,1
1873,9,18,0,1,2
1873,12,15,0,1,1
1874,1,29,0,1,1
1874,2,12,0,1,1
1874,2,21,0,1,1
1874,3,4,0,1,1
1874,3,13,0,1,1
1874,3,23,0,1,1
1874,3,29,0,1,1
1874,4,10,0,1,1
