,Common Name,Scientific Name,Date Sighted,Location Name,Num Sighted,Latitude,Longitude,year
0,Eastern Screech-Owl,Megascops asio,2020-09-22 23:54,Sommer Park Preserve,1.0,40.4113747,-74.77561,2020
1,Black-bellied Plover,Pluvialis squatarola,2020-09-22 23:46,Park Point--Sailing Club,8.0,46.7316765,-92.05617609999999,2020
2,shorebird sp.,Charadriiformes sp.,2020-09-22 23:46,Park Point--Sailing Club,1.0,46.7316765,-92.05617609999999,2020
3,Eastern Phoebe,Sayornis phoebe,2020-09-22 23:46,Park Point--Sailing Club,3.0,46.7316765,-92.05617609999999,2020
4,Common Nighthawk,Chordeiles minor,2020-09-22 23:45,Stewart Corner,1.0,41.899314000000004,-79.65527,2020
5,Great Horned Owl,Bubo virginianus,2020-09-22 23:45,Home - 24 Dundee Ave,1.0,40.696771000000005,-73.33376700000001,2020
6,Barn Owl,Tyto alba,2020-09-22 23:35,Havelock,1.0,33.9889045,-118.4153277,2020
7,Barred Owl,Strix varia,2020-09-22 23:30,Azalea Circle,1.0,33.8153308,-84.3014735,2020
8,Swainson's Thrush,Catharus ustulatus,2020-09-22 23:30,"206 Tareyton Drive, Ithaca",5.0,42.471756,-76.46036529999999,2020
9,Wood Thrush,Hylocichla mustelina,2020-09-22 23:30,"206 Tareyton Drive, Ithaca",1.0,42.471756,-76.46036529999999,2020
10,Sandhill Crane,Antigone canadensis,2020-09-22 23:29,NE 52nd Ave & Hancock,2.0,45.536475,-122.6099148,2020
11,Green Heron,Butorides virescens,2020-09-22 23:09,Bass Loop,1.0,30.549046899999997,-97.6635459,2020
12,Dickcissel,Spiza americana,2020-09-22 23:09,Bass Loop,1.0,30.549046899999997,-97.6635459,2020
13,Rock Pigeon,Columba livia,2020-09-22 23:08,Saint Peter's University,1.0,40.7274722,-74.07227840000002,2020
14,Mourning Dove,Zenaida macroura,2020-09-22 23:08,Saint Peter's University,1.0,40.7274722,-74.07227840000002,2020
15,Blue Jay,Cyanocitta cristata,2020-09-22 23:08,Saint Peter's University,1.0,40.7274722,-74.07227840000002,2020
16,European Starling,Sturnus vulgaris,2020-09-22 23:08,Saint Peter's University,1.0,40.7274722,-74.07227840000002,2020
17,House Sparrow,Passer domesticus,2020-09-22 23:08,Saint Peter's University,15.0,40.7274722,-74.07227840000002,2020
18,American Goldfinch,Spinus tristis,2020-09-22 23:08,Saint Peter's University,1.0,40.7274722,-74.07227840000002,2020
19,Veery,Catharus fuscescens,2020-09-22 23:00,Vinosky NFC Station (PA),6.0,40.507968,-75.59106700000001,2020
20,Northern Parula,Setophaga americana,2020-09-22 23:00,Vinosky NFC Station (PA),2.0,40.507968,-75.59106700000001,2020
21,Blackpoll Warbler,Setophaga striata,2020-09-22 23:00,Vinosky NFC Station (PA),1.0,40.507968,-75.59106700000001,2020
22,Canada Warbler,Cardellina canadensis,2020-09-22 23:00,Monsignor Crosby Ave (Yard),1.0,44.258069799999994,-72.5745473,2020
23,warbler sp. (Parulidae sp.),Parulidae sp.,2020-09-22 23:00,Vinosky NFC Station (PA),3.0,40.507968,-75.59106700000001,2020
24,passerine sp.,Passeriformes sp.,2020-09-22 23:00,Monsignor Crosby Ave (Yard),30.0,44.258069799999994,-72.5745473,2020
25,American Pipit,Anthus rubescens,2020-09-22 22:35,"N Fork Clearwater River below mouth of Spray Creek, Nez Perce-Clearwater National Forest, Pierce US-ID (46.6887,-115.5482)",7.0,46.688681,-115.548239,2020
26,Great Blue Heron,Ardea herodias,2020-09-22 22:22,"16 Anchorage Pl, South Portland US-ME (43.6413,-70.2513)",1.0,43.641282000000004,-70.251278,2020
27,Black-crowned Night-Heron,Nycticorax nycticorax,2020-09-22 22:22,"16 Anchorage Pl, South Portland US-ME (43.6413,-70.2513)",1.0,43.641282000000004,-70.251278,2020
28,Turkey Vulture,Cathartes aura,2020-09-22 22:20,Dyer Farm,2.0,42.3409963,-83.6517477,2020
29,Red-bellied Woodpecker,Melanerpes carolinus,2020-09-22 22:20,Dyer Farm,1.0,42.3409963,-83.6517477,2020
30,Downy Woodpecker,Dryobates pubescens,2020-09-22 22:20,Dyer Farm,1.0,42.3409963,-83.6517477,2020
31,falcon sp.,Falco sp.,2020-09-22 22:20,Dyer Farm,2.0,42.3409963,-83.6517477,2020
32,Black-capped Chickadee,Poecile atricapillus,2020-09-22 22:20,Dyer Farm,3.0,42.3409963,-83.6517477,2020
33,Tufted Titmouse,Baeolophus bicolor,2020-09-22 22:20,Dyer Farm,3.0,42.3409963,-83.6517477,2020
34,White-breasted Nuthatch,Sitta carolinensis,2020-09-22 22:20,Dyer Farm,1.0,42.3409963,-83.6517477,2020
35,Brown Thrasher,Toxostoma rufum,2020-09-22 22:20,Dyer Farm,1.0,42.3409963,-83.6517477,2020
36,Eastern Bluebird,Sialia sialis,2020-09-22 22:20,Dyer Farm,3.0,42.3409963,-83.6517477,2020
37,American Robin,Turdus migratorius,2020-09-22 22:20,Dyer Farm,2.0,42.3409963,-83.6517477,2020
38,Northern Cardinal,Cardinalis cardinalis,2020-09-22 22:20,Dyer Farm,2.0,42.3409963,-83.6517477,2020
39,Canada Goose,Branta canadensis,2020-09-22 22:15,Dev’s Wenrich St Apartment,2.0,40.337579,-76.77802700000001,2020
40,Bobolink,Dolichonyx oryzivorus,2020-09-22 22:15,Dev’s Wenrich St Apartment,1.0,40.337579,-76.77802700000001,2020
41,Ovenbird,Seiurus aurocapilla,2020-09-22 22:15,Dev’s Wenrich St Apartment,2.0,40.337579,-76.77802700000001,2020
42,Cape May Warbler,Setophaga tigrina,2020-09-22 22:15,Dev’s Wenrich St Apartment,1.0,40.337579,-76.77802700000001,2020
