Scientific Name,Common Name,Where Listed,Region  ,ESA Listing Status  
Akialoa stejnegeri,Kauai akialoa (honeycreeper),Wherever found,1,Endangered
Hemignathus wilsoni,akiapolaau,Wherever found,1,Endangered
Gymnogyps californianus,California condor,"U.S.A. only, except where listed as an experimental population",8,Endangered
Grus americana,Whooping crane,"Wherever found, except where listed as an experimental population",2,Endangered
Corvus hawaiiensis,Hawaiian (='alala) Crow,Wherever found,1,Endangered
Anas wyvilliana,Hawaiian (=koloa) Duck,Wherever found,1,Endangered
Anas laysanensis,Laysan duck,Wherever found,1,Endangered
Telespyza cantans,Laysan finch (honeycreeper),Wherever found,1,Endangered
Telespyza ultima,Nihoa finch (honeycreeper),Wherever found,1,Endangered
Branta (=Nesochen) sandvicensis,Hawaiian goose,Wherever found,1,Threatened
Palmeria dolei,crested honeycreeper (Akohekohe),Wherever found,1,Endangered
Acrocephalus familiaris kingi,Nihoa millerbird (old world warbler),Wherever found,1,Endangered
Gallinula galeata sandvicensis,Hawaiian common gallinule,Wherever found,1,Endangered
Moho braccatus,Kauai `o`o (honeyeater),Wherever found,1,Endangered
Psittirostra psittacea,`O`u (honeycreeper),Wherever found,1,Endangered
Loxioides bailleui,Palila (honeycreeper),Wherever found,1,Endangered
Amazona vittata,Puerto Rican parrot,Wherever found,4,Endangered
Pseudonestor xanthophrys,Maui parrotbill (Kiwikiu),Wherever found,1,Endangered
Pterodroma sandwichensis,Hawaiian petrel,Wherever found,1,Endangered
Tympanuchus cupido attwateri,Attwater's greater prairie-chicken,Wherever found,2,Endangered
Rallus obsoletus [=longirostris] yumanensis,Yuma Ridgways (clapper) rail,Wherever found,2,Endangered
Ammodramus maritimus mirabilis,Cape Sable seaside sparrow,Wherever found,4,Endangered
Myadestes palmeri,Small Kauai (=puaiohi) Thrush,Wherever found,1,Endangered
Megapodius laperouse,Micronesian megapode,Wherever found,1,Endangered
Phoebastria (=Diomedea) albatrus,Short-tailed albatross,Wherever found,7,Endangered
Colinus virginianus ridgwayi,Masked bobwhite (quail),Wherever found,2,Endangered
Pterodroma cahow,Bermuda petrel,Wherever found,4,Endangered
Numenius borealis,Eskimo curlew,Wherever found,7,Endangered
Vermivora bachmanii,Bachman's warbler (=wood),Wherever found,4,Endangered
Campephilus principalis,Ivory-billed woodpecker,Wherever found,4,Endangered
Sterna antillarum browni,California least tern,Wherever found,8,Endangered
Loxops coccineus,Hawaii akepa,Wherever found,1,Endangered
Loxops ochraceus,Maui akepa,Wherever found,1,Endangered
Paroreomyza maculata,Oahu creeper,Wherever found,1,Endangered
Hemignathus hanapepe,Kauai nukupuu,Wherever found,1,Endangered
Columba inornata wetmorei,Puerto Rican plain Pigeon,Wherever found,4,Endangered
Rallus longirostris obsoletus,California clapper rail,Wherever found,8,Endangered
Rallus longirostris levipes,Light-footed clapper rail,Wherever found,8,Endangered
Himantopus mexicanus knudseni,Hawaiian stilt,Wherever found,1,Endangered
Myadestes myadestinus,Large Kauai (=kamao) Thrush,Wherever found,1,Endangered
Myadestes lanaiensis rutha,Molokai thrush,Wherever found,1,Endangered
Picoides borealis,Red-cockaded woodpecker,Wherever found,4,Endangered
Fulica americana alai,Hawaiian coot,Wherever found,1,Endangered
Paroreomyza flammea,Molokai creeper,Wherever found,1,Endangered
Grus canadensis pulla,Mississippi sandhill crane,Wherever found,4,Endangered
Caprimulgus noctitherus,Puerto Rican nightjar,Wherever found,4,Endangered
Oreomystis mana,Hawaii creeper,Wherever found,1,Endangered
Melamprosops phaeosoma,Po`ouli (honeycreeper),Wherever found,1,Endangered
Puffinus auricularis newelli,Newell's Townsend's shearwater,Wherever found,1,Threatened
Lanius ludovicianus mearnsi,San Clemente loggerhead shrike,Wherever found,8,Endangered
Amphispiza belli clementeae,San Clemente sage sparrow,Wherever found,8,Threatened
Agelaius xanthomus,Yellow-shouldered blackbird,Wherever found,4,Endangered
Corvus kubaryi,Mariana (=aga) Crow,Wherever found,1,Endangered
Halcyon cinnamomina cinnamomina,Guam Micronesian kingfisher,Wherever found,1,Endangered
Gallinula chloropus guami,Mariana common moorhen,Wherever found,1,Endangered
Rallus owstoni,Guam rail,"Wherever found, except where listed as an experimental population",1,Endangered
