,speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
0,amwpel,American White Pelican,Pelecanus erythrorhynchos,L12395856,"3671–3781 Pacheco Pass Hwy, Gilroy US-CA (36.9923,-121.4962)",2020-09-30 12:18,5.0,36.992302,-121.496236,True,False,True,S74233393
1,turvul,Turkey Vulture,Cathartes aura,L12395856,"3671–3781 Pacheco Pass Hwy, Gilroy US-CA (36.9923,-121.4962)",2020-09-30 12:18,4.0,36.992302,-121.496236,True,False,True,S74233393
2,rethaw,Red-tailed Hawk,Buteo jamaicensis,L12395856,"3671–3781 Pacheco Pass Hwy, Gilroy US-CA (36.9923,-121.4962)",2020-09-30 12:18,1.0,36.992302,-121.496236,True,False,True,S74233393
3,whtkit,White-tailed Kite,Elanus leucurus,L12395856,"3671–3781 Pacheco Pass Hwy, Gilroy US-CA (36.9923,-121.4962)",2020-09-30 12:18,1.0,36.992302,-121.496236,True,False,True,S74233393
4,norhar2,Northern Harrier,Circus hudsonius,L12395856,"3671–3781 Pacheco Pass Hwy, Gilroy US-CA (36.9923,-121.4962)",2020-09-30 12:18,1.0,36.992302,-121.496236,True,False,True,S74233393
5,reshaw,Red-shouldered Hawk,Buteo lineatus,L12397408,"529–579 Guarding Point Ln, Kilmarnock US-VA (37.7781,-76.3145)",2020-09-30 11:57,1.0,37.778051,-76.314497,True,False,True,S74243480
6,amekes,American Kestrel,Falco sparverius,L305617,Cape Island--CMP--Alexander Ave. dunes/beach,2020-09-30 11:57,1.0,38.9405526,-74.9714112,True,False,False,S74243106
7,baleag,Bald Eagle,Haliaeetus leucocephalus,L12397408,"529–579 Guarding Point Ln, Kilmarnock US-VA (37.7781,-76.3145)",2020-09-30 11:57,1.0,37.778051,-76.314497,True,False,True,S74243480
8,ambduc,American Black Duck,Anas rubripes,L12397408,"529–579 Guarding Point Ln, Kilmarnock US-VA (37.7781,-76.3145)",2020-09-30 11:57,5.0,37.778051,-76.314497,True,False,True,S74243480
9,sander,Sanderling,Calidris alba,L12397397,"North Carolina 12, Avon, North Carolina, US (35.41, -75.485)",2020-09-30 11:56,12.0,35.4103086,-75.4854837,True,False,True,S74243407
10,rudtur,Ruddy Turnstone,Arenaria interpres,L12397397,"North Carolina 12, Avon, North Carolina, US (35.41, -75.485)",2020-09-30 11:56,1.0,35.4103086,-75.4854837,True,False,True,S74243407
11,willet1,Willet,Tringa semipalmata,L12397397,"North Carolina 12, Avon, North Carolina, US (35.41, -75.485)",2020-09-30 11:56,6.0,35.4103086,-75.4854837,True,False,True,S74243407
12,bkbplo,Black-bellied Plover,Pluvialis squatarola,L12397397,"North Carolina 12, Avon, North Carolina, US (35.41, -75.485)",2020-09-30 11:56,5.0,35.4103086,-75.4854837,True,False,True,S74243407
13,carchi,Carolina Chickadee,Poecile carolinensis,L475236,31204 Macon,2020-09-30 11:53,1.0,32.8415559,-83.6803722,True,False,True,S74243533
14,reevir1,Red-eyed Vireo,Vireo olivaceus,L475236,31204 Macon,2020-09-30 11:53,1.0,32.8415559,-83.6803722,True,False,True,S74243533
15,normoc,Northern Mockingbird,Mimus polyglottos,L475236,31204 Macon,2020-09-30 11:53,1.0,32.8415559,-83.6803722,True,False,True,S74243533
16,carwre,Carolina Wren,Thryothorus ludovicianus,L475236,31204 Macon,2020-09-30 11:53,2.0,32.8415559,-83.6803722,True,False,True,S74243533
17,brnthr,Brown Thrasher,Toxostoma rufum,L475236,31204 Macon,2020-09-30 11:53,1.0,32.8415559,-83.6803722,True,False,True,S74243533
18,rebwoo,Red-bellied Woodpecker,Melanerpes carolinus,L475236,31204 Macon,2020-09-30 11:53,1.0,32.8415559,-83.6803722,True,False,True,S74243533
19,moudov,Mourning Dove,Zenaida macroura,L475236,31204 Macon,2020-09-30 11:53,9.0,32.8415559,-83.6803722,True,False,True,S74243533
20,hoowar,Hooded Warbler,Setophaga citrina,L12397387,"2717–2989 Lankford Hwy, Exmore US-VA 37.53922, -75.82508",2020-09-30 11:53,1.0,37.539222,-75.825082,True,False,True,S74243318
21,amerob,American Robin,Turdus migratorius,L475236,31204 Macon,2020-09-30 11:53,1.0,32.8415559,-83.6803722,True,False,True,S74243533
22,eawpew,Eastern Wood-Pewee,Contopus virens,L475236,31204 Macon,2020-09-30 11:53,1.0,32.8415559,-83.6803722,True,False,True,S74243533
23,norcar,Northern Cardinal,Cardinalis cardinalis,L475236,31204 Macon,2020-09-30 11:53,6.0,32.8415559,-83.6803722,True,False,True,S74243533
24,swathr,Swainson's Thrush,Catharus ustulatus,L1477338,1822 Sharon Road,2020-09-30 11:52,1.0,30.4659193,-84.317554,True,False,True,S74243352
25,bnhnut,Brown-headed Nuthatch,Sitta pusilla,L10514350,"8449 Palmetto Pointe Road, Edisto Island, South Carolina, US (32.52, -80.323)",2020-09-30 11:49,1.0,32.5199871,-80.3233828,True,False,True,S74243234
