Species_Code,Common_Name,Scientific_Name,Date,Bird_Count,lat,lng,subId,Notable_Normal,Year,Month,Day,Family_Name,Notable
calhum,Calliope Hummingbird,Selasphorus calliope,2020-10-01 14:23,1.0,31.999400800000004,-109.27201240000001,S74298477,1,2020,10,1,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-10-01 08:58,1.0,32.295309,-110.81549299999999,S74279465,1,2020,10,1,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-10-01 06:37,1.0,31.417106,-110.24528400000001,S74276679,1,2020,10,1,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-30 18:12,2.0,32.3712145,-106.76917790000002,S74262129,1,2020,9,30,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-30 17:38,1.0,31.4920438,-110.9900558,S74261962,1,2020,9,30,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-30 17:27,2.0,31.913600899999995,-109.14080049999998,S74262487,1,2020,9,30,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-30 15:27,1.0,30.617379800000002,-104.0970039,S74264939,1,2020,9,30,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-30 13:20,1.0,32.3590068,-106.7305477,S74253006,1,2020,9,30,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-30 10:41,1.0,31.9063055,-109.15342890000001,S74262961,1,2020,9,30,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-30 09:30,2.0,32.97675,-107.38454399999999,S74252224,1,2020,9,30,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-30 06:47,3.0,32.920771,-107.575696,S74237325,1,2020,9,30,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-30 06:26,1.0,31.725151399999998,-110.8801067,S74246757,1,2020,9,30,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-29 17:08,1.0,32.4427119,-110.7598686,S74299272,1,2020,9,29,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-29 13:41,1.0,29.491776799999997,-103.4670389,S74228818,1,2020,9,29,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-29 10:37,1.0,31.5390131,-110.7606337,S74215516,1,2020,9,29,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-29 08:10,2.0,31.4156019,-110.2765277,S74232217,1,2020,9,29,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-29 08:00,1.0,35.526299,-105.92454450000001,S74206862,1,2020,9,29,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-29 07:30,1.0,31.3904516,-110.23924960000001,S74219835,1,2020,9,29,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-29 06:23,1.0,32.0982815,-110.68491770000001,S74205019,1,2020,9,29,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-28 16:06,1.0,31.8815054,-109.1891165,S74192365,1,2020,9,28,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-28 16:00,1.0,34.1726552,-103.32496579999999,S74192560,1,2020,9,28,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-28 14:47,1.0,35.133632500000004,-106.47365570000001,S74186016,1,2020,9,28,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-28 10:59,1.0,31.9041957,-109.15615559999999,S74264908,1,2020,9,28,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-28 09:52,1.0,31.784625,-106.493959,S74260208,1,2020,9,28,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-28 09:00,1.0,30.621146799999998,-103.9823824,S74212192,1,2020,9,28,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-28 08:59,2.0,35.6484708,-105.98657630000001,S74174909,1,2020,9,28,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-28 07:45,1.0,35.69397,-105.96309,S74166578,1,2020,9,28,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-28 07:15,1.0,31.408813399999996,-110.10678290000001,S74181753,1,2020,9,28,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-28 07:00,1.0,31.4641892,-109.95619609999999,S74175452,1,2020,9,28,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-28 06:48,1.0,35.1346021,-106.6947944,S74166598,1,2020,9,28,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-28 06:30,1.0,31.3853692,-110.22732140000002,S74176911,1,2020,9,28,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-27 12:49,1.0,34.693806,-112.0264882,S74139624,1,2020,9,27,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-27 09:14,1.0,30.618894,-103.982375,S74120070,1,2020,9,27,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-27 09:10,1.0,40.3125911,-111.90620179999999,S74122202,1,2020,9,27,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-27 08:30,1.0,35.7534278,-105.92437290000001,S74124616,1,2020,9,27,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-27 08:14,3.0,32.976337,-107.376797,S74122711,1,2020,9,27,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-27 08:00,1.0,33.9878886,-106.88517350000001,S74118511,1,2020,9,27,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-27 06:20,1.0,31.7941059,-106.5324983,S74170738,1,2020,9,27,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-27 06:15,2.0,31.911851000000002,-109.13673,S74146712,1,2020,9,27,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-26 16:35,1.0,31.9350554,-109.2191966,S74100992,1,2020,9,26,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-26 16:06,1.0,34.434354799999994,-103.7991207,S74107853,1,2020,9,26,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-26 12:32,1.0,31.9150326,-109.2690586,S74103333,1,2020,9,26,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-26 12:10,2.0,31.911621000000004,-109.14336899999999,S74125703,1,2020,9,26,Trochilidae,No
