speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
monpar,Monk Parakeet,Myiopsitta monachus,L1449894,Auditorium Shores / Disch Field,1981-04-19 16:00,2.0,30.2631381,-97.7522091,True,False,False,S19107353
monpar,Monk Parakeet,Myiopsitta monachus,L129110,"Town Lake Park (HOTE 042), Austin",1981-05-24 18:00,4.0,30.2649002,-97.7591019,True,False,False,S19197134
monpar,Monk Parakeet,Myiopsitta monachus,L129127,Zilker Park (HOTE 043),1982-05-24 12:00,2.0,30.2670002,-97.7699966,True,False,False,S22063334
monpar,Monk Parakeet,Myiopsitta monachus,L126472,Austin,1984-03-11,11.0,30.2671108,-97.7430801,True,False,True,S7430093
monpar,Monk Parakeet,Myiopsitta monachus,L130766,Hornsby Bend (HOTE 037),1984-04-14,,30.2181988,-97.6458054,True,False,False,S7430356
monpar,Monk Parakeet,Myiopsitta monachus,L126472,Austin,1984-12-30,5.0,30.2671108,-97.7430801,True,False,True,S7436471
monpar,Monk Parakeet,Myiopsitta monachus,L276940,Blunn Creek Preserve,1985-07-07 08:00,1.0,30.2296366,-97.7471068,True,False,False,S10615031
monpar,Monk Parakeet,Myiopsitta monachus,L129127,Zilker Park (HOTE 043),1986-04-27,,30.2670002,-97.7699966,True,False,False,S69179751
monpar,Monk Parakeet,Myiopsitta monachus,L129110,"Town Lake Park (HOTE 042), Austin",1986-05-03 19:52,,30.2649002,-97.7591019,True,False,False,S28109866
monpar,Monk Parakeet,Myiopsitta monachus,L1449894,Auditorium Shores / Disch Field,1987-02-11,2.0,30.2631381,-97.7522091,True,False,False,S38932076
monpar,Monk Parakeet,Myiopsitta monachus,L129110,"Town Lake Park (HOTE 042), Austin",1987-03-13 11:00,2.0,30.2649002,-97.7591019,True,False,False,S17285001
monpar,Monk Parakeet,Myiopsitta monachus,L129064,"Reed Park, Austin",1988-02-18,,30.3052998,-97.7731018,True,False,False,S10901167
monpar,Monk Parakeet,Myiopsitta monachus,L5061414,Bergstrom AFB,1989-07-01,20.0,30.1924328,-97.6663113,True,False,True,S32408098
monpar,Monk Parakeet,Myiopsitta monachus,L1548374,"Longhorn Dam area, Austin",1990-02-06 08:00,6.0,30.2501357,-97.7130168,True,False,False,S17357564
monpar,Monk Parakeet,Myiopsitta monachus,L129110,"Town Lake Park (HOTE 042), Austin",1990-03-25,,30.2649002,-97.7591019,True,False,False,S48807243
monpar,Monk Parakeet,Myiopsitta monachus,L12036366,Austin,1991-01-01,,30.2664885,-97.7562961,True,False,True,S72258975
monpar,Monk Parakeet,Myiopsitta monachus,L1408966,Austin,1991-01-13 11:30,2.0,30.2518595,-97.7442592,True,False,True,S19114533
monpar,Monk Parakeet,Myiopsitta monachus,L574876,Walter E. Long Lake (HOTE-036),1991-01-26 08:00,4.0,30.2836775,-97.6080322,True,False,False,S17428934
monpar,Monk Parakeet,Myiopsitta monachus,L129110,"Town Lake Park (HOTE 042), Austin",1991-03-02 15:00,,30.2649002,-97.7591019,True,False,False,S49331846
monpar,Monk Parakeet,Myiopsitta monachus,L862960,Zilker Botanical Gardens,1991-09-10 08:00,,30.2691308,-97.7717328,True,False,False,S14704955
monpar,Monk Parakeet,Myiopsitta monachus,L129110,"Town Lake Park (HOTE 042), Austin",1992-01-20,,30.2649002,-97.7591019,True,False,False,S49613560
monpar,Monk Parakeet,Myiopsitta monachus,L9399203,Barton Springs area,1992-02-29,,30.2640342,-97.7709818,True,False,False,S66536598
monpar,Monk Parakeet,Myiopsitta monachus,L126472,Austin,1992-03-01,,30.2671108,-97.7430801,True,False,True,S18482361
monpar,Monk Parakeet,Myiopsitta monachus,L129127,Zilker Park (HOTE 043),1992-03-08 11:30,6.0,30.2670002,-97.7699966,True,False,False,S11254877
monpar,Monk Parakeet,Myiopsitta monachus,L129127,Zilker Park (HOTE 043),1992-05-04 08:00,,30.2670002,-97.7699966,True,False,False,S14838258
monpar,Monk Parakeet,Myiopsitta monachus,L1548374,"Longhorn Dam area, Austin",1992-11-14,,30.2501357,-97.7130168,True,False,False,S49709964
monpar,Monk Parakeet,Myiopsitta monachus,L1449894,Auditorium Shores / Disch Field,1992-11-18,,30.2631381,-97.7522091,True,False,False,S11495631
monpar,Monk Parakeet,Myiopsitta monachus,L129127,Zilker Park (HOTE 043),1993-02-13,,30.2670002,-97.7699966,True,False,False,S2345809
monpar,Monk Parakeet,Myiopsitta monachus,L129110,"Town Lake Park (HOTE 042), Austin",1993-04-29,20.0,30.2649002,-97.7591019,True,False,False,S66414104
monpar,Monk Parakeet,Myiopsitta monachus,L2924724,"""Lefty"" Kreig Softball Complex-Austin",1993-05-30 17:00,,30.2476891,-97.7133358,True,False,True,S18810813
monpar,Monk Parakeet,Myiopsitta monachus,L864793,Austin - Town Lake Monk Parakeets,1993-07-27 15:00,,30.2710396,-97.7602959,True,False,True,S6095086
monpar,Monk Parakeet,Myiopsitta monachus,L129110,"Town Lake Park (HOTE 042), Austin",1993-08-17,,30.2649002,-97.7591019,True,False,False,S6081364
monpar,Monk Parakeet,Myiopsitta monachus,L1839967,"Austin, TX",1993-12-15 08:00,,30.2618403,-97.7483588,True,False,True,S12309898
monpar,Monk Parakeet,Myiopsitta monachus,L11055258,Creedmoor area roads,1993-12-18,,30.094679,-97.7348504,True,False,True,S66587899
monpar,Monk Parakeet,Myiopsitta monachus,L4237715,Baseball field area,1994-02-17 13:00,1.0,30.2645833,-97.7590325,True,False,True,S27425402
monpar,Monk Parakeet,Myiopsitta monachus,L129110,"Town Lake Park (HOTE 042), Austin",1994-03-05,,30.2649002,-97.7591019,True,False,False,S38999405
monpar,Monk Parakeet,Myiopsitta monachus,L567534,Roy G. Guerrero Colorado River Metro Park,1994-03-06,,30.246172,-97.7049763,True,False,False,S26338734
monpar,Monk Parakeet,Myiopsitta monachus,L129014,"Lakeshore Park, Austin",1994-03-09,3.0,30.247,-97.7152,True,False,False,S37764556
monpar,Monk Parakeet,Myiopsitta monachus,L1449894,Auditorium Shores / Disch Field,1994-03-10,2.0,30.2631381,-97.7522091,True,False,False,S41699414
