speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
carpar,Carolina Parakeet,Conuropsis carolinensis,L4943666,10 miles north of Nashville,1810-04-25,1.0,36.357715999999996,-86.7963266,True,True,True,S31718675
carpar,Carolina Parakeet,Conuropsis carolinensis,L6089701,"Alabama River, near old Rutherford Plantation",1826-01-06,300.0,32.2779534,-87.157073,True,True,True,S38148557
carpar,Carolina Parakeet,Conuropsis carolinensis,L6094510,"Below Wiggins Landing, over three miles below Claiborne",1826-01-08,,31.340046700000002,-87.76702879999999,True,True,True,S38175212
carpar,Carolina Parakeet,Conuropsis carolinensis,L5972719,Sandy Bridge inn (log cabin in 1831),1831-12-15,,36.0336716,-88.2755999,True,True,True,S37580809
carpar,Carolina Parakeet,Conuropsis carolinensis,L5972948,just outside 1831 Memphis-near Mississippi River,1831-12-22,4.0,35.1329657,-90.06325720000001,True,True,True,S37581637
carpar,Carolina Parakeet,Conuropsis carolinensis,L5004099,Old Road to Selma from Old Saffold Plantation (now Belvoir),1838-12-20 10:30,90.0,32.2536039,-86.9919777,True,True,True,S32118949
carpar,Carolina Parakeet,Conuropsis carolinensis,L2892988,Mandarin,1870-01-01,1.0,30.1558147,-81.62429809999999,True,True,True,S18645600
carpar,Carolina Parakeet,Conuropsis carolinensis,L678870,St. Sebastian River Preserve SP (Brevard Co.),1885-02-01,1.0,27.824853000000004,-80.6063547,True,True,False,S35925893
carpar,Carolina Parakeet,Conuropsis carolinensis,L293200,Thonotosassa,1887-03-25,4.0,28.0614,-82.30230999999999,True,True,True,S67940095
carpar,Carolina Parakeet,Conuropsis carolinensis,L1228913,Ohio River at Little Scioto River mouth,1810-03-05,,38.7523921,-82.8884125,True,True,True,S8541739
carpar,Carolina Parakeet,Conuropsis carolinensis,L598778,Big Bone Lick SP,1810-03-16,,38.885085600000004,-84.75082950000001,True,True,False,S8521745
carpar,Carolina Parakeet,Conuropsis carolinensis,L11236575,Mississippi River--St. Francis River Mouth,1819-01-07,,34.624459,-90.592996,True,True,True,S67896213
carpar,Carolina Parakeet,Conuropsis carolinensis,L152160,Louisville,1819-05-25,,38.25427,-85.75936,True,True,True,S8521657
carpar,Carolina Parakeet,Conuropsis carolinensis,L3960424,Ohio River between Wabash mouth & Highland Creek,1820-11-05,,37.780449499999996,-87.97564809999999,True,True,True,S8521656
carpar,Carolina Parakeet,Conuropsis carolinensis,L10037437,Fremont County,1843-05-08,,40.6713774,-95.82915990000001,True,True,True,S60659393
carpar,Carolina Parakeet,Conuropsis carolinensis,L122411,Little Rock,1854-12-16,1.0,34.74649,-92.28955,True,True,True,S64839207
carpar,Carolina Parakeet,Conuropsis carolinensis,L1223694,Bayou du Chien,1876-01-02,,36.575748,-89.1868401,True,True,True,S8521746
carpar,Carolina Parakeet,Conuropsis carolinensis,L2884594,Greenbrier County,1881-08-15,,37.9041159,-80.3766632,True,True,True,S19136798
