speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
monpar,Monk Parakeet,Myiopsitta monachus,L1288411,Dinner Key,1975-04-26,,25.7277716,-80.23538590000001,True,False,False,S52023895
monpar,Monk Parakeet,Myiopsitta monachus,L682100,University of Miami--main campus,1975-04-27,,25.7196139,-80.27697090000001,True,False,False,S52024955
monpar,Monk Parakeet,Myiopsitta monachus,L1594644,Hillsboro Club,1975-12-29 09:00,1.0,26.261636,-80.080865,True,False,True,S11075480
monpar,Monk Parakeet,Myiopsitta monachus,L1594644,Hillsboro Club,1976-01-02 09:00,1.0,26.261636,-80.080865,True,False,True,S11075495
monpar,Monk Parakeet,Myiopsitta monachus,L498948,Siesta Key Public Beach,1976-03-25 09:00,1.0,27.2643958,-82.5517845,True,False,False,S42296382
monpar,Monk Parakeet,Myiopsitta monachus,L4227757,Morris Bridge,1976-09-08,2.0,28.0982615,-82.31148,True,False,True,S27398880
monpar,Monk Parakeet,Myiopsitta monachus,L127407,Audubon Corkscrew Swamp Sanctuary,1976-11-21,,26.375442,-81.60402059999998,True,False,False,S2260539
monpar,Monk Parakeet,Myiopsitta monachus,L10385158,Fairchild,1978-06-13,1.0,25.678255899999996,-80.2742887,True,False,True,S62821251
monpar,Monk Parakeet,Myiopsitta monachus,L127423,Bill Baggs Cape Florida SP,1978-11-04 09:00,3.0,25.6733,-80.1582,True,False,False,S13348222
monpar,Monk Parakeet,Myiopsitta monachus,L6420797,Del Oro Park,1978-12-23,,27.970468699999998,-82.7048314,True,False,True,S40171562
monpar,Monk Parakeet,Myiopsitta monachus,L749467,"FL, Cocanut Grove",1979-01-12,3.0,25.7266118,-80.2444839,True,False,True,S5142216
monpar,Monk Parakeet,Myiopsitta monachus,L127425,Matheson Hammock Park,1979-05-17 07:30,1.0,25.6806539,-80.27263640000001,True,False,False,S63376575
monpar,Monk Parakeet,Myiopsitta monachus,L1028596,Weaver Park,1980-02-04,,28.0204314,-82.789439,True,False,False,S24455150
monpar,Monk Parakeet,Myiopsitta monachus,L835243,Florida International University--Nature Preserve,1981-01-28 08:30,2.0,25.7543674,-80.37936690000001,True,False,False,S66349338
monpar,Monk Parakeet,Myiopsitta monachus,L3462832,Miami Beach,1981-02-07,,25.8166587,-80.1209521,True,False,False,S66527773
monpar,Monk Parakeet,Myiopsitta monachus,L2723428,South Cove Natural Area,1981-02-13 08:00,2.0,26.7080966,-80.0479726,True,False,False,S42264634
monpar,Monk Parakeet,Myiopsitta monachus,L127324,Honeymoon Island SP,1981-03-29,,28.0706,-82.8314,True,False,False,S8519091
monpar,Monk Parakeet,Myiopsitta monachus,L148140,Tampa,1981-09-20,2.0,27.947500199999997,-82.4584198,True,False,True,S32700859
monpar,Monk Parakeet,Myiopsitta monachus,L376633,Fort Lauderdale Beach Park,1981-12-30 14:00,5.0,26.1144444,-80.105,True,False,False,S36723689
monpar,Monk Parakeet,Myiopsitta monachus,L11545942,Miami Dinner Key (City Hall),1982-03-04 08:00,12.0,25.7282218,-80.2347233,True,False,True,S69619549
monpar,Monk Parakeet,Myiopsitta monachus,L354278,FL. Coconut Grove,1982-03-24,1.0,25.7346062,-80.2320493,True,False,True,S2510493
monpar,Monk Parakeet,Myiopsitta monachus,L354277,"FL. 79th Street Causeway, Miami",1982-03-31,12.0,25.8477871,-80.15854759999999,True,True,True,S2510464
monpar,Monk Parakeet,Myiopsitta monachus,L10000909,Virginia Key - general,1982-05-16 09:30,1.0,25.744212,-80.154984,True,False,True,S60414338
monpar,Monk Parakeet,Myiopsitta monachus,L354278,FL. Coconut Grove,1982-05-21,4.0,25.7346062,-80.2320493,True,False,True,S2510495
monpar,Monk Parakeet,Myiopsitta monachus,L127397,J. N. Ding Darling NWR,1982-06-02 08:00,,26.447674699999997,-82.1111298,True,False,False,S8487010
monpar,Monk Parakeet,Myiopsitta monachus,L127426,Fairchild Tropical Botanic Garden,1982-10-02,4.0,25.6764,-80.2713,True,True,False,S2261650
monpar,Monk Parakeet,Myiopsitta monachus,L127425,Matheson Hammock Park,1982-11-13,8.0,25.6806539,-80.27263640000001,True,False,False,S2295134
monpar,Monk Parakeet,Myiopsitta monachus,L354278,FL. Coconut Grove,1982-12-18,2.0,25.7346062,-80.2320493,True,False,True,S2510515
monpar,Monk Parakeet,Myiopsitta monachus,L350127,Miami Springs,1983-01-01,,25.82228,-80.28947,True,False,True,S8458508
monpar,Monk Parakeet,Myiopsitta monachus,L352808,FL. Miami Springs,1983-02-12,4.0,25.8181647,-80.283025,True,False,True,S3083611
